,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/4249139,Marianischer Saal,Luzern,6003,Bahnhofstrasse 18,Switzerland,47.05052,8.30401,
/venues/3588344,Restaurant & Weinbar Zum Hut,Uster,8610,Bahnhofstrasse 18,Switzerland,47.348659999999995,8.71814,http://www.zum-hut.ch
/venues/1311656,Box Davos,Davos,CH-7260,Bahnhofstrasse 19,Switzerland,46.81178,9.843210000000001,
/venues/4420164,Brauwerk,St. Gallen,9000,Bahnhofstrasse 19,Switzerland,47.42472,9.371780000000001,http://www.restaurantbrauwerk.ch
/venues/4411229,Hotel Schützen,Basel,4310,Bahnhofstrasse 19,Switzerland,47.5531,7.79232,
/venues/2547429,Brasserie Treffpunkt,Herisau,9100,Bahnhofstrasse 2,Switzerland,47.38615,9.279919999999999,http://www.treffbar.ch/
/venues/2396014,Montana,Davos,7260,Bahnhofstrasse 2,Switzerland,46.80878,9.84057,http://www.montana-bar.ch
/venues/2721693,ROX Music Bar,Bern,3700,Bahnhofstrasse 2,Switzerland,46.68979,7.67475,http://www.roxbar.ch
/venues/3832784,Bahnhofsaal Rheinfelden,Basel,4310,Bahnhofstrasse 21,Switzerland,47.55162,7.792510000000001,
/venues/751661,Openair Gampel,Gampel,3945,Bahnhofstrasse 21,Switzerland,46.31431,7.744460000000001,
/venues/4069629,Bahnhof Olten,Olten,6400,Bahnhofstrasse 22,Switzerland,47.352059999999994,7.9079,
/venues/2770963,Bahnhof Wetzikon - Veloplus,Wetzikon,8620,Bahnhofstrasse 22,Switzerland,47.31991,8.793560000000001,
/venues/936326,Kulturforum,Amriswil,8580,Bahnhofstrasse 22,Switzerland,47.548159999999996,9.3025,
/venues/4100854,Barocca Club,Solothurn,4563,Bahnhofstrasse 24b,Switzerland,47.17109,7.56589,
/venues/3139194,Nirvana Shisha Bar Lounge,Solothurn,4563,Bahnhofstrasse 24b,Switzerland,47.17086,7.56602,
/venues/4372676,Café SEIN,Aarau,5000,Bahnhofstrasse 30,Switzerland,47.390859999999996,8.04727,http://www.seinaarau.ch
/venues/1507948,Wilden Mann,Luzern,6000,Bahnhofstrasse 30,Switzerland,47.050340000000006,8.30308,
/venues/3862539,Hotel Eden,Chur,7130,Bahnhofstrasse 31,Switzerland,46.77482,9.20835,
/venues/4361175,Ronnie Scott's Jazz Club,Zermatt,3920 Zermatt,Bahnhofstrasse 31,Switzerland,46.02114,7.747330000000001,
/venues/3760199,Station 31,Weinfelden,8560,Bahnhofstrasse 31,Switzerland,47.5887,9.06339,
/venues/1572233,Mon Royal,Baden,5400,Bahnhofstrasse 39,Switzerland,47.47813,8.30865,
/venues/1509938,Royal,Baden,5400,Bahnhofstrasse 39,Switzerland,47.47625,8.30818,
/venues/3313899,Carlton Restaurant & Bar,Zürich,8001,Bahnhofstrasse 41,Switzerland,47.37141,8.53777,
/venues/4366419,Unique Hotel Post,Zermatt,3920,Bahnhofstrasse 41,Switzerland,46.0207,7.746580000000001,
/venues/1832893,Privé Club,Zürich,8001,Bahnhofstrasse 66,Switzerland,47.373740000000005,8.53861,http://www.priveclub.ch/
/venues/450081,Saint Germain,Zürich,8001,Bahnhofstrasse 66,Switzerland,47.373870000000004,8.53846,http://www.saintgermain.ch/
/venues/3971829,Bahnhof St. Gallen,St. Gallen,,Bahnhofstrasse 8,Switzerland,47.42583,9.37304,https://www.sbb.ch/de/bahnhof-services/bahnhoefe/bahnhof-stgallen.html
/venues/3138489,Hotel Restaurant Weisses Rössli,Luzern,6440,Bahnhofstrasse 8,Switzerland,46.99432,8.60581,
/venues/3520034,Höfli Pub,St. Gallen,9113,Bahnhofstrasse 8,Switzerland,47.37287,9.19968,http://www.degersheim.ch/
/venues/3945324,Barfüsserplatz,Basel,4001,Barfüsserplatz,Switzerland,47.554559999999995,7.5891399999999996,
/venues/4337609,Jugenskulturfestival,Basel,,Barfüsserplatz,Switzerland,47.55458,7.58988,
/venues/1486103,La Madeleine,Luzern,6003,Baselstrasse 15,Switzerland,47.05175,8.29826,
/venues/1993864,La Madleine,Luzern,6003 Luzern,Baselstrasse 15,Switzerland,47.051790000000004,8.29831,http://www.lamadeleine.ch/
/venues/59035,Kulturzentrum Kammgarn,Schaffhausen,8200,Baumgartenstrasse 19,Switzerland,47.69448,8.63673,
