,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/3358309,Gloria Theater Säckingen,Winterthur,79713,Friedrichstrasse 21,Switzerland,,,
/venues/3369229,Geneva Lake Festival,Geneva,1200,,Switzerland,,,
/venues/3947699,Giovani per l'Africa,Locarno,6654,Via al Lambic,Switzerland,,,
/venues/86894,Stadthalle Chur,Chur,7000,Weststrasse 5,Switzerland,,,
/venues/4019069,Forum Royal,Baden,4058,Schwarzwald Allee 175,Switzerland,,,
/venues/2603448,Porrentruy-Delle Jazz Festival,Porrentruy,,Place du Pré de l'étang,Switzerland,,,
