,0,1,2,3,4,5
benga,world music,,,,,
beninese pop,pop music,,,,,
bergamo indie,alternative,,,,,
bergen indie,rock music,,,,,
berlin minimal techno,electronic music,experimental music,dance music,,,
berlin school,electronic music,,,,,
bern indie,world music,rock music,,,,
bhangra,bhangra,,,,,
big band,jazz,,,,,
big beat,electronic music,dance music,,,,
big room,electronic music,dance music,,,,
binaural,,,,,,
birdsong,,,,,,
birmingham grime,electronic music,,,,,
birmingham hip hop,hip hop music,world music,,,,
birmingham indie,alternative,rock music,,,,
birmingham metal,rock music,,,,,
bitpop,electronic music,pop music,,,,
black 'n' roll,rock music,,,,,
black death,world music,,,,,
black metal,rock music,,,,,
black metal argentino,world music,rock music,,,,
black punk,punk music,world music,rock music,,,
black sludge,world music,,,,,
black speed metal,world music,rock music,,,,
black thrash,world music,rock music,,,,
blackened crust,rock music,,,,,
blackened deathcore,electronic music,rock music,dance music,,,
blackened hardcore,electronic music,rock music,dance music,,,
blackgaze,alternative,rock music,,,,
blaskapelle,instrumental music,,,,,
blasmusik,jazz,music of jamaica,instrumental music,,,
bleep techno,electronic music,dance music,,,,
bluegrass,world music,folk music,country music,,,
bluegrass gospel,functional music,world music,folk music,country music,,
blues,blues,,,,,
blues band,blues,,,,,
blues rock,blues,rock music,,,,
blues-rock guitar,blues,acoustic music,rock music,,,
bmore,dance music,,,,,
bolero,world music,,,,,
bolero cubano,world music,,,,,
boogaloo,rhythm and blues,world music,,,,
boogie,post-disco,,,,,
boogie-woogie,boogie-woogie,,,,,
boom bap,hip hop music,world music,,,,
boom bap brasileiro,hip hop music,world music,,,,
boom bap espanol,hip hop music,world music,,,,
bosnian indie,rock music,,,,,
bossa nova,world music,,,,,
bossa nova jazz,jazz,world music,,,,
boston electronic,electronic music,,,,,
boston folk,world music,folk music,,,,
boston hardcore,electronic music,rock music,dance music,,,
boston hip hop,hip hop music,world music,,,,
boston indie,rock music,,,,,
boston metal,rock music,,,,,
boston punk,punk music,rock music,,,,
boston rock,rock music,,,,,
bouncy house,electronic music,dance music,,,,
bow pop,pop music,,,,,
boy band,pop music,,,,,
braindance,electronic music,,,,,
brass band,instrumental music,,,,,
brass band brasileiro,instrumental music,,,,,
brass ensemble,instrumental music,,,,,
brass quintet,instrumental music,,,,,
brazilian bass,electronic music,dance music,,,,
brazilian black metal,world music,rock music,,,,
brazilian boogie,post-disco,,,,,
brazilian death metal,rock music,,,,,
brazilian dnb,electronic music,dance music,,,,
brazilian edm,electronic music,dance music,,,,
brazilian gospel,functional music,world music,,,,
brazilian groove metal,rock music,,,,,
brazilian hardcore,electronic music,rock music,dance music,,,
brazilian hip hop,hip hop music,world music,,,,
brazilian house,electronic music,dance music,,,,
brazilian indie,world music,rock music,,,,
brazilian indie rock,alternative,independent music,rock music,,,
brazilian jazz,jazz,,,,,
brazilian metal,rock music,,,,,
brazilian modern jazz,musical modernism,jazz,,,,
brazilian percussion,instrumental music,,,,,
brazilian post-hardcore,electronic music,experimental music,rock music,dance music,,
brazilian power metal,rock music,,,,,
brazilian progressive metal,progressive music,rock music,,,,
brazilian punk,punk music,rock music,,,,
brazilian punk rock,punk music,rock music,,,,
brazilian reggae,music of jamaica,,,,,
brazilian rock,world music,rock music,,,,
brazilian rockabilly,rock music,,,,,
brazilian soul,rhythm and blues,soul music,world music,,,
brazilian stoner rock,rock music,,,,,
brazilian surf rock,pop music,rock music,,,,
brazilian techno,electronic music,dance music,,,,
brazilian thrash metal,rock music,,,,,
breakbeat,electronic music,dance music,,,,
breakcore,electronic music,dance music,,,,
breaks,breaks,,,,,
brega romantico,brega,,,,,
breton folk,world music,folk music,,,,
brighton indie,rock music,,,,,
brill building pop,pop music,,,,,
brisbane indie,rock music,,,,,
bristol electronic,electronic music,,,,,
bristol indie,pop music,,,,,
brit funk,rhythm and blues,funk,,,,
british alternative rock,alternative,rock music,,,,
british black metal,world music,rock music,,,,
british blues,blues,,,,,
british brass band,instrumental music,,,,,
british choir,vocal music,,,,,
british classical piano,art music,,,,,
british contemporary classical,contemporary music,art music,,,,
british country,country music,world music,,,,
british death metal,rock music,,,,,
british experimental,experimental music,,,,,
british folk,world music,folk music,,,,
british grindcore,rock music,,,,,
british indie rock,alternative,independent music,rock music,,,
british industrial,electronic music,experimental music,,,,
british invasion,british invasion,,,,,
british jazz,jazz,world music,,,,
british math rock,alternative,rock music,,,,
british orchestra,orchestra,,,,,
british post-rock,experimental music,rock music,,,,
british power metal,rock music,,,,,
british singer-songwriter,acoustic music,vocal music,,,,
british soul,british soul,,,,,
british soundtrack,functional music,,,,,
britpop,alternative,pop music,rock music,,,
broken beat,electronic music,dance music,,,,
bronx hip hop,hip hop music,world music,,,,
brooklyn drill,hip hop music,world music,,,,
brooklyn indie,rock music,,,,,
brostep,electronic music,,,,,
brutal death metal,rock music,,,,,
brutal deathcore,electronic music,rock music,dance music,,,
bubble trance,electronic music,dance music,,,,
bubblegrunge,rock music,,,,,
bubblegum dance,electronic music,dance music,,,,
bubblegum pop,electronic music,pop music,rock music,,,
buffalo ny indie,rock music,,,,,
buffalo ny metal,rock music,,,,,
bulgarian electronic,electronic music,,,,,
bulgarian experimental,experimental music,,,,,
bulgarian folk,world music,folk music,,,,
bulgarian indie,,,,,,
bulgarian metal,rock music,,,,,
bulgarian pop,pop music,,,,,
bulgarian rock,rock music,,,,,
burkinabe pop,pop music,,,,,
burkinabe traditional,world music,,,,,
burundian pop,pop music,,,,,
bury st edmunds indie,pop music,rock music,,,,
c-pop,pop music,world music,,,,
c86,alternative,independent music,pop music,rock music,,
cabaret,musical theater,,,,,
calgary indie,rock music,,,,,
cali rap,hip hop music,world music,,,,
california hardcore,electronic music,rock music,dance music,,,
calming instrumental,instrumental music,,,,,
cambodian rock,world music,rock music,,,,
cambridge choir,vocal music,,,,,
cambridgeshire indie,rock music,,,,,
cameroonian pop,pop music,,,,,
canadian americana,world music,country music,,,,
canadian black metal,world music,rock music,,,,
canadian blues,blues,world music,,,,
canadian ccm,contemporary commercial music,,,,,
canadian celtic,world music,,,,,
canadian classical piano,art music,,,,,
canadian contemporary country,country music,contemporary music,world music,art music,,
canadian contemporary r&b,rhythm and blues,contemporary music,art music,,,
canadian country,canadian country music,,,,,
canadian death metal,rock music,,,,,
canadian drill,hip hop music,world music,,,,
canadian electronic,electronic music,,,,,
canadian electropop,electronic music,pop music,,,,
canadian experimental,experimental music,,,,,
canadian folk,world music,folk music,,,,
canadian garage rock,rock music,,,,,
canadian hardcore,rock music,,,,,
canadian hip hop,hip hop music,world music,,,,
canadian house,electronic music,dance music,,,,
canadian indie,rock music,,,,,
canadian indie folk,independent music,world music,folk music,,,
canadian indigenous,world music,,,,,
canadian latin,world music,,,,,
canadian metal,rock music,,,,,
canadian metalcore,rock music,,,,,
canadian modern jazz,musical modernism,jazz,,,,
canadian old school hip hop,hip hop music,world music,,,,
canadian pop,pop music,,,,,
canadian pop punk,punk music,pop music,rock music,,,
canadian post-hardcore,electronic music,experimental music,rock music,dance music,,
canadian post-punk,punk music,rock music,,,,
canadian post-rock,experimental music,rock music,,,,
canadian psychedelic,psychedelic music,,,,,
canadian psychedelic rock,rock music,psychedelic music,,,,
canadian punk,punk music,rock music,,,,
canadian rock,world music,rock music,,,,
canadian rockabilly,rock music,,,,,
canadian shoegaze,alternative,rock music,,,,
canadian singer-songwriter,acoustic music,vocal music,,,,
canadian stoner rock,rock music,,,,,
canadian trap,hip hop music,world music,,,,
canadian underground hip hop,hip hop music,independent music,world music,underground music,,
cancion infantil latinoamericana,,,,,,
cancion melodica,pop music,,,,,
candomble,world music,folk music,,,,
candy pop,pop music,,,,,
cantautor,world music,rock music,,,,
cantautora argentina,,,,,,
cante flamenco,world music,folk music,,,,
canterbury scene,rock music,,,,,
canzone d'autore,acoustic music,vocal music,world music,folk music,,
canzone genovese,canzone,,,,,
canzone napoletana,canzone napoletana,,,,,
cape breton folk,world music,folk music,,,,
cape breton indie,world music,folk music,,,,
cape town indie,world music,rock music,,,,
cape verdean folk,world music,folk music,,,,
caracas indie,world music,rock music,,,,
cardiff indie,art music,,,,,
carnatic,world music,art music,,,,
carnatic instrumental,world music,instrumental music,art music,,,
cascadian black metal,world music,rock music,,,,
caucasian classical piano,art music,,,,,
cavernous death metal,rock music,,,,,
ccm,contemporary commercial music,,,,,
cedm,electronic music,functional music,dance music,,,
cello,rock music,,,,,
celtic,world music,,,,,
celtic metal,rock music,,,,,
celtic punk,folk music,rock music,,,,
celtic rock,folk music,rock music,,,,
chalga,pop music,folk music,,,,
chamber choir,art music,,,,,
chamber ensemble,art music,,,,,
chamber folk,folk music,,,,,
chamber orchestra,orchestra,art music,,,,
chamber pop,independent music,pop music,art music,alternative,rock music,
chamber psych,art music,,,,,
champeta,world music,,,,,
channel islands indie,rhythm and blues,functional music,soul music,,,
channel pop,pop music,,,,,
chanson,world music,folk music,,,,
chanson paillarde,world music,folk music,,,,
chanson quebecois,world music,folk music,,,,
chanson virale,world music,folk music,,,,
chaotic black metal,world music,rock music,,,,
chaotic hardcore,rock music,,,,,
chapman stick,rock music,,,,,
charanga,world music,,,,,
charango,world music,,,,,
charlotte nc indie,pop music,,,,,
charlottesville indie,pop music,,,,,
charred death,rock music,,,,,
chicago blues,blues,,,,,
chicago bop,hip hop music,world music,,,,
chicago drill,hip hop music,world music,,,,
chicago hardcore,rock music,,,,,
chicago house,electronic music,dance music,,,,
chicago indie,rock music,,,,,
chicago pop punk,punk music,pop music,rock music,,,
chicago punk,punk music,rock music,,,,
chicago rap,hip hop music,world music,,,,
chicano punk,rock music,,,,,
chicano rap,chicano rap,,,,,
chicha,world music,,,,,
chihuahua indie,world music,rock music,,,,
children's choir,children's music,,,,,
children's music,children's music,,,,,
chilean black metal,world music,rock music,,,,
chilean indie,world music,rock music,,,,
chilean metal,rock music,,,,,
chilean rock,world music,rock music,,,,
chill lounge,pop music,,,,,
chill out,electronic music,,,,,
chill pop,pop music,,,,,
chill r&b,rhythm and blues,,,,,
chill-out trance,electronic music,dance music,,,,
chillhop,lo-fi music,hip hop music,world music,,,
chillstep,electronic music,dance music,,,,
chillsynth,electronic music,,,,,
chillwave,electronic music,independent music,rock music,psychedelic music,,
chinderlieder,hip hop music,world music,,,,
chinese classical performance,world music,art music,,,,
chinese classical piano,world music,art music,,,,
chinese electronic,electronic music,,,,,
chinese electropop,electronic music,pop music,,,,
chinese experimental,experimental music,,,,,
chinese indie,rock music,,,,,
chinese indie pop,alternative,independent music,pop music,rock music,,
chinese indie rock,alternative,independent music,rock music,,,
chinese jazz,jazz,,,,,
chinese metal,rock music,,,,,
chinese post-punk,punk music,rock music,,,,
chinese post-rock,experimental music,rock music,,,,
chinese traditional,world music,folk music,,,,
chinese worship,,,,,,
chip hop,hip hop music,world music,,,,
chiptune,electronic music,nerd music,functional music,,,
chopped and screwed,hip hop music,world music,,,,
choral,vocal music,,,,,
choro,choro,,,,,
choro contemporaneo,choro,,,,,
christchurch indie,pop music,,,,,
christelijk,functional music,world music,,,,
christian a cappella,vocal music,functional music,,,,
christian alternative rock,alternative,functional music,rock music,,,
christian deathcore,electronic music,functional music,rock music,dance music,,
christian hardcore,functional music,rock music,,,,
christian indie,functional music,,,,,
christian metal,functional music,rock music,,,,
christian metalcore,functional music,rock music,,,,
christian music,functional music,,,,,
christian pop,functional music,pop music,,,,
christian power metal,functional music,rock music,,,,
christian punk,functional music,rock music,,,,
christian relaxative,functional music,,,,,
christian rock,functional music,rock music,,,,
christian uplift,functional music,,,,,
christlicher rap,hip hop music,world music,,,,
christmas product,holiday music,,,,,
cimbalom,,,,,,
cinematic post-rock,experimental music,rock music,,,,
circuit,electronic music,dance music,,,,
city pop,pop music,,,,,
classic afrobeat,rhythm and blues,world music,folk music,funk,,
classic arab pop,pop music,world music,,,,
classic azeri pop,pop music,,,,,
classic bangla pop,pop music,,,,,
classic belgian pop,pop music,,,,,
classic bhangra,bhangra,,,,,
classic canadian rock,world music,rock music,,,,
classic city pop,pop music,,,,,
classic colombian pop,pop music,,,,,
classic country pop,pop music,country music,world music,classic country,,
classic czech pop,pop music,,,,,
classic danish pop,pop music,,,,,
classic danish rock,world music,rock music,,,,
classic dubstep,electronic music,dance music,,,,
classic eurovision,,,,,,
classic finnish rock,world music,rock music,,,,
classic french pop,pop music,world music,,,,
classic garage rock,rock music,,,,,
classic girl group,rhythm and blues,pop music,rock music,,,
classic greek pop,pop music,,,,,
classic greek rock,world music,rock music,,,,
classic hardstyle,electronic music,dance music,,,,
classic house,electronic music,dance music,,,,
classic icelandic pop,pop music,,,,,
classic indo pop,pop music,world music,,,,
classic indonesian rock,world music,rock music,,,,
classic israeli pop,pop music,world music,,,,
classic italian folk pop,acoustic music,pop music,folk music,world music,,
classic italian pop,pop music,,,,,
classic j-pop,pop music,,,,,
classic k-pop,pop music,,,,,
classic norwegian pop,pop music,world music,,,,
classic opm,world music,,,,,
classic pakistani pop,pop music,world music,,,,
classic persian pop,pop music,world music,,,,
classic polish pop,pop music,,,,,
classic praise,functional music,world music,contemporary commercial music,,,
classic progressive house,electronic music,progressive music,dance music,,,
classic rock,classic rock,,,,,
classic romanian pop,pop music,,,,,
classic russian pop,pop music,world music,,,,
classic russian rock,world music,rock music,,,,
classic schlager,pop music,,,,,
classic sinhala pop,pop music,,,,,
classic soul,rhythm and blues,soul music,,,,
classic soundtrack,functional music,,,,,
classic swedish pop,pop music,,,,,
classic uk pop,pop music,,,,,
classical,art music,,,,,
classical accordion,acoustic music,art music,,,,
classical baritone,art music,,,,,
classical bass,world music,bass,electronic music,art music,hip hop music,
classical cello,art music,,,,,
classical clarinet,art music,,,,,
classical contralto,art music,,,,,
classical countertenor,art music,,,,,
classical flute,art music,,,,,
classical guitar,acoustic music,art music,,,,
classical harp,art music,,,,,
classical horn,art music,,,,,
classical jazz fusion,jazz,art music,,,,
classical mandolin,art music,,,,,
classical mezzo-soprano,art music,,,,,
classical oboe,art music,,,,,
classical organ,art music,,,,,
classical percussion,instrumental music,art music,,,,
classical performance,art music,,,,,
classical piano,art music,,,,,
classical piano trio,art music,,,,,
classical saxophone,art music,,,,,
classical saxophone quartet,art music,,,,,
classical soprano,art music,,,,,
classical tenor,art music,,,,,
classical trombone,art music,,,,,
classical trumpet,art music,,,,,
classify,,,,,,
cleveland indie,rock music,,,,,
cleveland metal,rock music,,,,,
coldwave,rock music,,,,,
collage pop,pop music,,,,,
cologne electronic,electronic music,,,,,
cologne hip hop,hip hop music,world music,,,,
cologne indie,rock music,,,,,
colombian black metal,world music,rock music,,,,
colombian hip hop,hip hop music,world music,,,,
colombian indie,electronic music,pop music,world music,,,
colombian pop,pop music,,,,,
colombian rock,world music,rock music,,,,
columbus ohio indie,rock music,,,,,
combos nacionales,,,,,,
comedy,comedy music,,,,,
comedy rap,hip hop music,comedy music,world music,,,
comedy rock,comedy music,rock music,,,,
comic,rock music,,,,,
comic metal,rock music,,,,,
commons,alternative,,,,,
complextro,electronic music,dance music,,,,
compositional ambient,electronic music,new age music,,,,
comptine africaine,,,,,,
concertina,world music,folk music,,,,
connecticut hardcore,electronic music,rock music,dance music,,,
conscious hip hop,hip hop music,world music,,,,
contemporary classical,art music,,,,,
contemporary classical piano,contemporary music,art music,,,,
contemporary country,country music,world music,,,,
contemporary jazz,jazz,,,,,
contemporary post-bop,jazz,world music,contemporary music,art music,hip hop music,
contemporary vocal jazz,vocal music,jazz,contemporary music,art music,,
cook islands pop,pop music,,,,,
cool jazz,jazz,,,,,
cork indie,folk music,,,,,
cornish folk,world music,folk music,,,,
cornwall indie,,,,,,
corrido,world music,folk music,,,,
corrosion,rock music,,,,,
corsican folk,world music,folk music,,,,
cosmic american,world music,country music,,,,
cosmic black metal,world music,rock music,,,,
cosmic death metal,rock music,,,,,
