,nbr_concerts,acoustic music,art music,blues,children's music,country music,dance music,electronic music,experimental music,folk music,functional music,funk,hip hop music,independent music,instrumental music,jazz,lo-fi music,pop music,rhythm and blues,rock music,soul music,underground music,vocal music,world music
/venues/2759823,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
/venues/2760648,27,0.04,0.11,0.0,0.0,0.04,0.07,0.15,0.0,0.07,0.07,0.0,0.52,0.15,0.0,0.0,0.0,0.19,0.07,0.52,0.07,0.0,0.04,0.74
/venues/2760653,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
/venues/2760658,31,0.03,0.16,0.0,0.0,0.0,0.16,0.42,0.06,0.1,0.0,0.03,0.35,0.16,0.03,0.26,0.03,0.39,0.19,0.35,0.16,0.0,0.03,0.61
/venues/2760958,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
/venues/2760963,6,0.33,0.33,0.0,0.0,0.0,0.17,0.0,0.0,0.17,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.5
/venues/2761488,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5
/venues/2762268,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.88,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.88
/venues/2763408,10,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0
/venues/2764628,6,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.5
/venues/2767008,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/2767808,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/2767953,9,0.0,0.0,0.0,0.0,0.0,0.56,0.67,0.0,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.44
/venues/2770123,25,0.04,0.12,0.04,0.0,0.0,0.04,0.12,0.28,0.04,0.0,0.04,0.24,0.08,0.04,0.04,0.0,0.16,0.04,0.64,0.0,0.0,0.04,0.4
/venues/2770523,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
/venues/2773358,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
/venues/2773373,20,0.05,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/2773408,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,1.0
/venues/2775143,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5
/venues/2776023,7,0.29,0.29,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.57
/venues/2777043,8,0.25,0.12,0.0,0.0,0.0,0.38,0.38,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.88,0.0,0.75,0.0,0.0,0.25,0.62
/venues/2777553,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
/venues/2779143,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
/venues/2780428,14,0.14,0.29,0.07,0.0,0.14,0.21,0.21,0.0,0.07,0.0,0.07,0.36,0.07,0.07,0.29,0.0,0.93,0.21,0.64,0.14,0.0,0.21,0.71
/venues/2781433,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
/venues/2781763,8,0.0,0.0,0.12,0.0,0.0,0.75,0.62,0.0,0.75,0.0,0.0,0.62,0.75,0.62,0.0,0.0,0.88,0.0,1.0,0.0,0.0,0.0,0.75
/venues/2783448,85,0.0,0.29,0.06,0.0,0.01,0.02,0.12,0.05,0.02,0.01,0.0,0.09,0.0,0.07,0.0,0.0,0.08,0.02,0.98,0.02,0.0,0.0,0.14
