,genre_id,genre_name,genre_name_edited,top_genre_id,top_genre_name,unique_top_genre,everynoise_id,everynoise_name,discogs_genre_name,discogs_style_name
2804,Q5520007,gamelan siteran,gamelan siteran,Q1583807,art music,0.0,,,,
2805,Q5520009,gamelan surakarta,gamelan surakarta,Q1583807,art music,0.0,,,,
2806,Q5520009,gamelan surakarta,gamelan surakarta,Q194492,gamelan,0.0,,,,
2807,Q5520009,gamelan surakarta,gamelan surakarta,Q205049,world music,0.0,,,,
2808,Q106704476,gamewave,gamewave,Q106704476,gamewave,1.0,,,,
2809,Q834566,ganga,ganga,Q205049,world music,0.0,,,,
2810,Q834566,ganga,ganga,Q43343,folk music,0.0,,,,
2811,Q834566,ganga,ganga,Q685884,vocal music,0.0,,,,
2812,Q4585173,gangar,gangar,Q205049,world music,0.0,,,,
2813,Q4585173,gangar,gangar,Q4585173,gangar,0.0,,,,
2814,Q4585173,gangar,gangar,Q43343,folk music,0.0,,,,
