venue_id,nbr_artists,listeners_median,followers_median,acousticness_median,danceability_median,duration_ms_median,energy_median,instrumentalness_median,liveness_median,loudness_median,speechiness_median,tempo_median,valence_median
/venues/3360714,2,12.5,205.5,0.07752400000000001,0.5930000000000001,211770.75,0.71925,0.00484037,0.138,-7.966999999999999,0.03945,115.52100000000002,0.573
/venues/3361579,1,4.0,7.0,0.436,0.533,225213.5,0.664,6.1e-07,0.114,-8.07,0.193,125.34550000000002,0.353
/venues/3361584,1,4.0,7.0,0.436,0.533,225213.5,0.664,6.1e-07,0.114,-8.07,0.193,125.34550000000002,0.353
/venues/3362199,1,364.0,149.0,0.0471,0.6880000000000001,227739.5,0.546,0.0,0.136,-8.871500000000001,0.09645000000000001,121.372,0.262
/venues/3362364,1,79.0,38.0,0.0482,0.785,506182.0,0.67,0.845,0.13,-10.54,0.0536,117.99,0.47700000000000004
/venues/3362399,1,1900.0,1595.0,0.0172,0.4235,197124.5,0.7235,0.7949999999999999,0.105,-6.6855,0.04005,123.583,0.657
/venues/3364784,3,6900.0,6333.0,0.011699999999999999,0.6884999999999999,398540.5,0.7879999999999999,0.8879999999999999,0.11199999999999999,-11.1075,0.049600000000000005,128.99200000000002,0.0774
/venues/3366014,11,13100.0,688.0,0.565,0.615,194842.5,0.525,0.000663,0.1495,-9.326,0.0424,112.0565,0.5539999999999999
/venues/3366019,1,59300.0,240.0,0.9585,0.15150000000000002,404480.0,0.0592,0.8725,0.09809999999999999,-24.113500000000002,0.0424,81.31550000000001,0.039349999999999996
/venues/3366024,1,59300.0,240.0,0.9585,0.15150000000000002,404480.0,0.0592,0.8725,0.09809999999999999,-24.113500000000002,0.0424,81.31550000000001,0.039349999999999996
/venues/3366179,6,409.5,466.0,0.19467500000000001,0.56025,244328.0,0.516,0.007735,0.11325,-8.92225,0.038125,103.24025,0.349
/venues/3366939,3,70.0,215.0,0.023825,0.7242500000000001,349393.25,0.647,0.8580000000000001,0.10874999999999999,-11.4965,0.060325,127.748,0.22799999999999998
/venues/3367964,2,141.5,340.5,0.22125,0.6455,180193.0,0.63875,0.35729184999999997,0.12575000000000003,-5.6,0.036449999999999996,123.476,0.6102500000000001
/venues/3369229,1,8100.0,292.0,0.0368,0.8125,193133.0,0.508,0.0,0.0451,-7.255,0.299,114.71950000000001,0.9199999999999999
/venues/3369264,1,7.0,0.0,0.306,0.389,291253.0,0.563,6.440000000000001e-05,0.6629999999999999,-9.092,0.0587,121.405,0.16699999999999998
/venues/3369564,31,4100.0,1997.0,0.0887,0.6869999999999999,238619.5,0.5794999999999999,0.07915,0.1195,-8.9945,0.0601,119.3215,0.40800000000000003
/venues/3370389,14,437.0,115.0,0.511,0.6105,215294.0,0.614,0.001905,0.11299999999999999,-7.5520000000000005,0.0465,116.2685,0.47500000000000003
/venues/3370924,7,50.0,46.0,0.10455,0.60475,239590.0,0.78825,0.23217500000000002,0.13275,-9.53975,0.043125,127.655,0.423
/venues/3374894,4,35008.5,30.5,0.32899999999999996,0.7164999999999999,223538.75,0.62075,0.0008003675,0.1089,-8.0725,0.03445,116.00125,0.5367500000000001
/venues/3375729,17,324.0,271.0,0.16399999999999998,0.609,224063.0,0.5985,0.000537425,0.117,-9.588000000000001,0.03365,120.243,0.348
/venues/3377394,3,16.0,65.0,0.2025,0.6234999999999999,258029.0,0.719,0.5640000000000001,0.108,-7.616,0.04475,127.6805,0.7395
/venues/3378954,1,11.0,72.0,0.02,0.536,256998.0,0.7605,0.00248,0.16199999999999998,-7.321999999999999,0.0375,142.975,0.5455
/venues/3379229,3,27883.0,3395.5,0.726,0.6455,217829.0,0.2535,4.425e-06,0.115,-10.774,0.0335,129.079,0.40449999999999997
/venues/3379234,11,13000.0,4245.0,0.365,0.6335,214079.5,0.5025,0.000737,0.1145,-7.8454999999999995,0.04035,127.0635,0.3825
/venues/3380419,5,7300.0,531.0,0.2935,0.74075,225499.5,0.539,0.08594,0.11524999999999999,-6.8655,0.050725,126.0095,0.543
/venues/3380689,2,93050.0,45613.5,0.078875,0.63275,203323.5,0.8165,0.41200104000000004,0.120175,-5.75025,0.04165,109.537,0.74925
