,venue_id,concert_id,artist_id,date,latitude,longitude
60672,/venues/895931,/concerts/12126808,/artists/5259688-live-at-sunset-2012,2012-07-17,47.37561,8.57674
60665,/venues/895931,/festivals/379733,/artists/5259688-live-at-sunset-2012,2012-07-18,47.37561,8.57674
60668,/venues/895931,/concerts/12126843,/artists/5259688-live-at-sunset-2012,2012-07-18,47.37561,8.57674
60662,/venues/895931,/festivals/379738,/artists/5259688-live-at-sunset-2012,2012-07-19,47.37561,8.57674
60664,/venues/895931,/concerts/12126813,/artists/5259688-live-at-sunset-2012,2012-07-19,47.37561,8.57674
3451,/venues/33266,/concerts/16977214,/artists/526020-monster-magnet,2013-08-12,47.04458,8.31125
3452,/venues/33266,/concerts/16164869,/artists/526020-monster-magnet,2013-08-12,47.04458,8.31125
18955,/venues/514666,/concerts/25466929,/artists/526020-monster-magnet,2016-03-21,47.52729,7.69406
18956,/venues/514666,/concerts/25418314,/artists/526020-monster-magnet,2016-03-21,47.52729,7.69406
78329,/venues/3324619,/concerts/37789079,/artists/526333-orishas,2019-07-06,47.53397,7.72135
78331,/venues/3324619,/concerts/37509494,/artists/526333-orishas,2019-07-06,47.53397,7.72135
61822,/venues/3661314,/concerts/31453589,/artists/5266623-velvet-two-stripes,2017-11-18,47.51052,9.43183
61824,/venues/3661314,/concerts/31430899,/artists/5266623-velvet-two-stripes,2017-11-18,47.51052,9.43183
37034,/venues/36158,/concerts/35524109,/artists/5266623-velvet-two-stripes,2018-10-06,47.42732,9.37416
37036,/venues/36158,/concerts/33091389,/artists/5266623-velvet-two-stripes,2018-10-06,47.42732,9.37416
8663,/venues/33267,/concerts/35604704,/artists/5266623-velvet-two-stripes,2019-03-22,47.39869,8.0637
48493,/venues/33267,/concerts/35663544,/artists/5266623-velvet-two-stripes,2019-03-22,47.39869,8.0637
69035,/venues/96257,/concerts/26497254,/artists/5266688-bears-of-legend,2016-04-08,46.18505,6.14225
69036,/venues/96257,/concerts/26269429,/artists/5266688-bears-of-legend,2016-04-08,46.18505,6.14225
51278,/venues/903721,/concerts/24350204,/artists/527650-gianna-nannini,2015-07-15,46.16977,8.79623
51297,/venues/903721,/concerts/24350144,/artists/527650-gianna-nannini,2015-07-15,46.16977,8.79623
34950,/venues/3324239,/festivals/412083,/artists/530095-xen,2019-11-16,47.41333,8.5424
34966,/venues/3324239,/festivals/3255212,/artists/530095-xen,2019-11-16,47.41333,8.5424
76659,/venues/3681799,/concerts/31685284,/artists/5324318-collie-herb,2017-10-21,47.20486,7.537089999999999
76662,/venues/3681799,/concerts/31430014,/artists/5324318-collie-herb,2017-10-21,47.20486,7.537089999999999
97520,/venues/1129971,/festivals/899719,/artists/533166-bayside,2014-04-30,47.38732,8.49986
97525,/venues/1129971,/festivals/899714,/artists/533166-bayside,2014-04-30,47.38732,8.49986
12563,/venues/58381,/concerts/25629024,/artists/533276-sophie-hunger,2015-12-17,47.49759,8.72265
12564,/venues/58381,/concerts/24508009,/artists/533276-sophie-hunger,2015-12-17,47.49759,8.72265
12565,/venues/58381,/concerts/24438369,/artists/533276-sophie-hunger,2015-12-17,47.49759,8.72265
