,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity
/artists/5113263-3satz-bruggemann-catena-enggist,"3satz - Brüggemann, Catena, Enggist",,,,
/artists/505213-3some,3some,,,,
/artists/5116528-4-days,4 Days,,,,
/artists/7982813-4-final,4 Final,,,,
/artists/105806-4-promille,4 Promille,,,,
/artists/3276276-4-wheel-drive,4 Wheel Drive,,,,
/artists/10159023-40min-8,40min 8,,,,
/artists/615852-40th,40th,,,,
/artists/440653-44-leningrad,44 Leningrad,,,,
/artists/5201073-45-degre,45 Degré,,,,
/artists/7619969-45ampm,45AMPM,,,,
/artists/8401843-47soul,47Soul,,,,
/artists/9685714-47ter,47Ter,,,,
/artists/8785834-48h-allstars,48h Allstars,,,,
/artists/9514059-4fun-jazzband,4fun Jazzband,,,,
/artists/9353649-4fun-trio,4fun Trio,,,,
/artists/1114045-4th-dimension,4th dimension,,,,
/artists/443596-4th-time-around,4th time around,,,,
/artists/10151272-5-1-jahre-borderfree-association,5 (+1) Jahre Borderfree Association,,,,
/artists/5642214-5-seconds-of-summer,5 Seconds of Summer,,,,
/artists/8598769-5-stabbed-4-corpses,5 Stabbed 4 Corpses,,,,
/artists/4559813-5-in-love,5 in Love,,,,
/artists/407361-50-cent,50 Cent,,,,
/artists/10102776-50sfive,50’s-Five,,,,
/artists/7291379-52-hertz,52 Hertz,,,,
/artists/7382209-54-november,54. November,,,,
/artists/9117979-5k-hd,5K HD,,,,
/artists/1550807-5th-floor,5TH FLOOR,,,,
/artists/7311074-5er,5er,,,,
/artists/10096114-6-handful-of-blues,6 Handful of Blues,,,,
/artists/443105-69,6-9,,,,
/artists/10033474-60-miles-trio,60 miles trio,,,,
/artists/4098986-65-mines-street,65 Mines Street,,,,
/artists/558929-65daysofstatic,65daysofstatic,,,,
/artists/1964788-69-chambers,69 Chambers,,,,
/artists/270846-69db,69db,,,,
/artists/18828-7-dollar-taxi,7 Dollar Taxi,,,,
/artists/4391263-7-frunde,7 Fründe,,,,
/artists/8659164-7-htarget,7 H.Target,,,,
/artists/9394624-7-jaws,7 Jaws,,,,
/artists/10052934-7-vibes-journey,7 Vibes Journey,,,,
/artists/10139325-72-degrees,72 Degrees,,,,
/artists/480371-77,77,,,,
/artists/3762931-77-bombay-street,77 Bombay Street,,,,
/artists/10093241-777christos,777Christos,,,,
/artists/9882184-7pines,7Pines,,,,
/artists/8896029-7ubo,7UBO,,,,
/artists/8605579-80-doppel-d,80 Doppel D,,,,
/artists/8650339-800-gondomar,800 Gondomar,,,,
/artists/215134-808-state,808 State,,,,
/artists/3369221-80er,80er,,,,
/artists/4166141-80ties,80ties,,,,
/artists/8568439-8kids,8kids,,,,
/artists/8468823-8th-wonder,8th Wonder,,,,
/artists/5178383-8thsin,8thsin,,,,
/artists/4049801-8x15,8x15,,,,
/artists/3831061-8deg6-crew,8°6 Crew,,,,
/artists/4891213-9-chambers,9 Chambers,,,,
/artists/4935698-90er,90er,,,,
/artists/9254234-96ix,96ix,,,,
/artists/563078-999,999,,,,
/artists/540059-9mm,9MM,,,,
/artists/2946221-9mm-arr,9mm Arr,,,,
/artists/4418268-9mm-assi-rocknroll,9mm Assi Rock'n'roll,,,,
/artists/10102852-lola-milovanovic,??? (Lola Milovanovic),,,,
/artists/43193-alos,?alos,,,,
/artists/581964-uestlove,?uestlove,,,,
/artists/9973359-a-baker-ch,A Baker ,,,,
/artists/8871774-a-band-called-e,A Band Called E,,,,
/artists/9497424-a-bang-and-a-whimper,A Bang and a Whimper,,,,
/artists/9535549-a-bowie-celebration,A Bowie Celebration,,,,
/artists/4742463-a-boy-named-river,A Boy Named River,,,,
/artists/443591-a-camp,A Camp,,,,
/artists/884960-a-classic-education,A Classic Education,,,,
/artists/6506249-a-crashed-blackbird-called-rosehip,A Crashed Blackbird Called Rosehip,,,,
/artists/7309389-a-crashed-blackbird-rosehip,A Crashed Blackbird Rosehip,,,,
/artists/10050893-a-day-in-central-park,A Day In Central Park,,,,
/artists/470482-a-day-to-remember,A Day to Remember,,,,
/artists/3701676-a-dead-forest-index,A Dead Forest Index,,,,
/artists/27131-a-few-good-men,A Few Good Men,,,,
/artists/162307-a-filetta,A Filetta,,,,
/artists/183471-a-fine-frenzy,A Fine Frenzy,,,,
/artists/183783-a-forest,A Forest,,,,
/artists/3468731-a-friend-in-london,A Friend In London,,,,
/artists/2396413-a-giant-dog,A Giant Dog,,,,
