,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity
/artists/3684861-chk-chk-chk,!!! (Chk Chk Chk),!!!,1mmehjf7eHA10uHMisZGJg,0.3,46.0
/artists/694091-kadebostan,!!!Kadebostan!!!,Kadebostan,6hWRK8VkzbYP9p17M5APJR,0.77,10.0
/artists/5929284-brothers-in-bamako,"""Brothers In Bamako""",,,,
/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,"""Floyd Division"" The Austrian Pink Floyd Tribute Band",,,,
/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,"""Jazz...etcetera"" Stewy von Wattenwyl Group,  feat. Lisette Spinnler",,,,
/artists/7433784-pyramids-jazz,"""The Pyramids"" ",The Pyramids,3kCWVwcSSSggzNsjm8a6h2,0.89,26.0
/artists/8375378-agcrew,#AGCrew,Acres,3y43zXffnLmhyQD1K4QCmD,0.5,29.0
/artists/44425-smoove,$MOOVE,$MOOVE,38DshhONySNb65KLMDMCMY,1.0,0.0
/artists/7809989-and-francis-fruit,& Francis Fruit,,,,
/artists/8672184-and-friends,& Friends,Friends,0R2qhaNYSKYhYKeRMYwrpN,0.88,35.0
/artists/7958443-and-the-calling-sirens,& The Calling Sirens,The Calling Sirens,1ORY7bHVmnSxZ82DWV6So9,0.95,1.0
/artists/19529-etre,(Etre),(Etre),6QF7pAFRSjBDEDfIlIpgtj,1.0,0.0
/artists/131307-hed-pe,(Hed) P.E.,(Hed) P.E.,0xIChbcTsuYLueN1oEsX9v,1.0,51.0
/artists/354666-bihtnik,(bih`tnik),[bih'tnik],2zlnW9GESgL9jhjal3tUzJ,0.7,1.0
/artists/1301647-meer,**@meer**,Meer,6DmyMZv3lelGiNWVoceuYj,0.46,14.0
/artists/888062-food-for-ya-soul,*FOOD FOR YA SOUL*,,,,
/artists/8309718-special-guest-tba,+ Special Guest TBA,,,,
/artists/5563503-,+++,,,,
/artists/9525634-sylvano,- sylvano -,Sylvano,5GHN85nZ3mft1AesroSap4,0.67,0.0
/artists/1367596-m,-M-,Migos,6oMuImdp5ZcFhWP0ESe6mG,0.25,82.0
/artists/642733-nesseria,-NESSERIA -,KSI,1nzgtKYFckznkcVMR3Gg4z,0.29,78.0
/artists/738563-stylez,-Stylez-,X-Stylez,0HUWy6PHHNrDsZS2EcoQbt,0.88,15.0
/artists/589187-,...,...,0Xy7pMtVf9WXxibcd0TefP,1.0,14.0
/artists/1285966-well,....WËLL....,WELL$,0LHzh8WdqxdtnTzp0XIOyZ,0.35,30.0
/artists/9850299-leaves-ger,.Leaves ,.Leaves,4sDPglsR1TdpkFfOHcbTQx,0.93,0.0
/artists/474915-hack,.hack,Hack,6igU78hsXAtUIqxnYJDBET,0.67,19.0
/artists/10159035-a-ch,/A\ ,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,0.36,82.0
/artists/5352303-05ric,05ric,06Ricky,5sBmJ5y2Cw745BK3kCG3ce,0.5,0.0
/artists/8166653-10-for-14,10 for 14,,,,
/artists/292381-10000-maniacs,"10,000 Maniacs","10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj,1.0,53.0
/artists/8360073-10000-russos,"10,000 Russos",10 000 Russos,2pkZFQGkxsNYlJK5jO4z3L,0.92,20.0
/artists/9541484-100-kilo-herz,100 Kilo Herz,100 Kilo Herz,6sKOC3XdcoRZHh70zwnWFg,1.0,35.0
/artists/6696839-1000-gram,1000 GRAM,SCO1000GRAMS,2Om21jQJn0CWK5NzTunoUd,0.76,11.0
/artists/357052-1000mods,1000mods,1000mods,7EgAHTw2PMP7a1tAEtue89,1.0,42.0
/artists/480184-100blumen,100blumen,100blumen,0yrqNuQtHb3ZEwWcCqNGYV,1.0,9.0
/artists/9062169-102-boyz,102 BOYZ,102 BOYZ,7MOryOswC0gFXHuv8WfHZh,1.0,2.0
/artists/324463-10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,1.0,62.0
/artists/6723079-11-louder,11 Louder,11 Louder,4OO0wubvxHn9ipOz1RLmHz,1.0,0.0
/artists/7858804-117elements,117Elements,117 Elements,36cCLafvN0HL5yIM8u46zS,0.96,0.0
/artists/2398431-11a,11a,11ai,6VzKRf1Q5Ur33XueBwcpi3,0.86,5.0
/artists/366820-120-days,120 Days,120 Days,33IhQgRHcYIuAdlk1VN77v,1.0,7.0
/artists/89736-1280-almas,1280 Almas,1280 Almas,5skZhjSLizA2G1bJQp2iNM,1.0,35.0
/artists/2070755-12th-planet,12th Planet,12th Planet,3V1h3kAdiVDBiwlY2i6dJz,1.0,49.0
/artists/9552549-13-block,13 Block,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,1.0,56.0
/artists/8920989-13-crowes,13 Crowes,13 Crowes,7d1O1AxAp2Opr5LdB35aGW,1.0,12.0
/artists/9506864-13-years-cicada,13 years cicada,,,,
/artists/5371483-130-bpm,130 Bpm,180 BPM,5Ni6KiU8wxNb3mMAcidDJC,0.57,23.0
/artists/458371-1349,1349,1349,150xbiJGnTy1tSBZ9EFKnT,1.0,31.0
/artists/6105749-13starz,13Starz,,,,
/artists/3020176-15-tubes-en-live,15 Tubes En Live,,,,
/artists/208742-16,16,16,35m8xtAGmqjnArbq8Xnndp,1.0,19.0
/artists/2445921-16-bitch-pileup,16 Bitch Pile-up,,,,
/artists/407824-16-horsepower,16 Horsepower,16 Horsepower,188gwh9RnRT58ZQPwqwHE3,1.0,39.0
/artists/306885-17-hippies,17 Hippies,17 Hippies,3Tq2hRlRrQzA4Zq2ncYiiA,1.0,35.0
/artists/4518913-17f,17f,17f,6Pw8oBAICU36VXbV7xxDUI,1.0,0.0
/artists/3949041-18-strings,18 Strings,18 Strings,0nQtoo02M46j8QohmrvDh4,1.0,1.0
/artists/5392173-187-strassenbande,187 Strassenbande,187 Strassenbande,2j2rh3oQh4QEUnNTDKYSJD,1.0,68.0
/artists/5008498-19052012,19.05.2012,,,,
/artists/9312694-1921,1921,1921,5632EL71unaPUypzrvtp8y,1.0,5.0
/artists/552063-1982,1982,1982,4xRobnExsPK6sV1i7tEwp3,1.0,6.0
/artists/81873-1989,1989,1989,04VREmuFHXQ1VNqQTYhTYk,1.0,1.0
/artists/510732-1995,1995,1995,4CH2uNha7qT33gsr1y60Ca,1.0,47.0
/artists/8564529-1997ev,1997EV,1997EV,0YtCnXj4S22ZZOm6PJhj8b,1.0,0.0
/artists/9365974-1kub,1KUB,1KUB,5bS55SQZJBjhaxUPUYluEw,1.0,0.0
/artists/8005233-1er-partie-hyren,1er Partie Hyren,,,,
/artists/4467063-2-chainz,2 Chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,1.0,80.0
/artists/4740558-2-special,2 Special,2 Special,6VjDL6MptjB753JgXvR3NU,1.0,0.0
/artists/4343276-2-support,2 Support,2nd Level Support,6T7AyOD9JPA649PqeLV0G7,0.69,0.0
/artists/3181586-2-tages,2 Tages,2:Tages:Bart,79te3u5Y58OU3OsyNFxkzC,0.63,12.0
/artists/377506-2-unlimited,2 Unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,1.0,56.0
/artists/6338854-2takt,2-Takt,Zwei-Takt,1rd45fwPznfghLBjx8N9wz,0.67,0.0
/artists/8631869-20-watt-tombstone,20 Watt Tombstone,20 Watt Tombstone,4QydkamDuA2eBx2F9UYDTQ,1.0,23.0
/artists/8158983-20-years-gurd,20 Years Gurd,,,,
/artists/718633-2000-and-one,2000 and One,2000 And One,030NUgrxJxZPLc7cXUhgvD,0.92,22.0
/artists/9765744-2001-ch,2001 ,2001,3qYv5NODogJKnuGq7oS4Rr,0.89,19.0
/artists/2984006-202project,202.project,202Project,26sE8dolV80TfqJ2rWXPmj,0.86,0.0
/artists/7617119-20dark7,20dark7,,,,
/artists/10094045-21-juin-le-duo,21 Juin Le Duo,21 Juin Le Duo,0UUuBtaLyglYTbgfjTw1vT,1.0,16.0
/artists/159832-22,22,22,0Op82sqzI45fNMecmDiJDx,1.0,25.0
/artists/9804639-22-halo,22 Halo,22º Halo,6p355yiyJc67iSNeWLM8WH,0.93,11.0
/artists/309223-22pistepirkko,22-Pistepirkko,22-Pistepirkko,7viKRqdDIZZ6ZHdmcGQX3m,1.0,30.0
/artists/10119580-22deg-halo,22° Halo,22º Halo,6p355yiyJc67iSNeWLM8WH,0.88,11.0
/artists/4893554-23rd-grade-of-evil,23rd Grade of Evil,23rd Grade of Evil,7EtVyplYzflfXQaq1TwbxR,1.0,0.0
/artists/3503621-24-pesos,24 Pesos,24 Pesos,5F62xYSX3SUCCwwDdHjR9J,1.0,1.0
/artists/549578-247-spyz,24-7 Spyz,24-7 Spyz,5EvYDcSvmVxZuMe4faStNq,1.0,22.0
/artists/9599579-247-diva-heaven,24/7 DIVA HEAVEN,24/7 Diva Heaven,1FRmvAlteQnT8HE4rqvU2C,0.5,14.0
/artists/9703194-24dias,24Dias,24Dias,3NT7dZuo1xv8M1ENLOOqS5,1.0,5.0
/artists/4567838-25-years-oldies,25 Years Oldies,,,,
/artists/1006331-2562,2562,2562,2leze82lbuNUn3K4c7nS1B,1.0,15.0
/artists/3689796-257ers,257ers,257ers,6ihLfpY3cmdGyWEnItn30w,1.0,57.0
/artists/3130666-25plus,25plus,2plus1,4bzs3jM8CJ3m2xfJfemIr6,0.83,21.0
/artists/8429543-2ca,2CA,2CAL,1fPbNYaMRfAqCedbCdvFbT,0.86,0.0
/artists/4392693-2cellos,2CELLOS,2CELLOS,6Fi8CHfO8WGtu3yO8c2Mc4,1.0,61.0
/artists/8511828-2henning,2HENNING,Henning Iberg,4EVnu9F7lmRuS2ZzrvGkwW,0.19,3.0
/artists/8275573-2komplex,2Komplex,2Komplex,5B0ABKR0QFMUM1I7zMaqtM,1.0,1.0
/artists/3453506-2duos,2duos,2Duos,3LJUCCuXPL347r8HYcHksA,0.8,1.0
/artists/1997583-2econd-class-citizen,2econd class citizen,2econd Class Citizen,7moWOJPcZM7hjGb2YhTflG,0.9,16.0
/artists/9076074-2manydjs-dj-set,2manydjs (DJ Set),,,,
/artists/105947-2raumwohnung,2raumwohnung,2raumwohnung,6BHpFo1cbGCGLWh28wa43x,1.0,45.0
/artists/161176-3-cohens,3 Cohens,3 Cohens,4TU7LHSh0AUCQwxUkuIs5x,1.0,4.0
/artists/335962-3-doors-down,3 Doors Down,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,1.0,72.0
/artists/185566-3-inches-of-blood,3 Inches of Blood,3 Inches Of Blood,0gNkDUN42nBxKOcpoF7iQ4,0.94,38.0
/artists/7155254-3-years-fake-moustache-brothers,3 Years Fake Moustache Brothers,,,,
/artists/1966124-3-minutes-sur-mer,3 minutes sur mer,3 minutes sur mer,0XPpRdtzo13pHQmyqB9HGf,1.0,4.0
/artists/7617294-3-wahl,3. Wahl,wahlflow3r,0ROcqGMjuPr7NgtmbpKfSa,0.35,0.0
/artists/4954643-30000-monkies,30.000 Monkies,"30,000 monkies",6oUYst09mWEPgHLZ55cpZ4,0.86,1.0
/artists/7923113-300514,30.05.14),,,,
/artists/8400548-3070,30/70,30/70,2hmDAP9qrP22L93Pbq7FWM,1.0,36.0
/artists/4504353-30th,30th,30thAve,30cwYqEgNSouoiPJVB584W,0.73,0.0
/artists/8131358-31052014,31.05.2014,,,,
/artists/364686-31knots,31Knots,31Knots,4nWVO2hfYWV6It7tKooj02,1.0,10.0
/artists/9525349-3280goons,3280goon$,3280goons,5XT8tD43UsHKjgdmKBLVB3,0.89,0.0
/artists/440988-340ml,340ml,340ml,6rrIBmKWKnUbi6XLFfKEw5,1.0,22.0
/artists/114914-36-crazyfists,36 Crazyfists,36 Crazyfists,4ijGLY4dzlurDh7jqH3tW7,1.0,45.0
/artists/3871851-360deg,360°,360°α,429aiTPIW6ZfWp0PhGiPJM,0.89,0.0
/artists/9756709-3lp-clubband,3LP Club-Band,,,,
/artists/9334934-3ma-ballake-sissoko-driss-el-maloumi-rajery,"3MA : Ballaké Sissoko, Driss El Maloumi, Rajery",,,,
/artists/569328-3oh3,3OH!3,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,1.0,66.0
/artists/8173563-3teeth,3TEETH,3TEETH,4GHi4xklo0FT0l2CNuLFh2,1.0,47.0
/artists/10077178-3rd-choice,3rd Choice,3rd Choice,32TS6NkygrbXytyHz07nf8,1.0,0.0
/artists/3130706-3rd-edition,3rd Edition,,,,
/artists/8374373-3somesisters,3sOmEsistERs,3Somesisters,5iij8JyDpYQdjvdbRQDReZ,0.58,1.0
/artists/5113263-3satz-bruggemann-catena-enggist,"3satz - Brüggemann, Catena, Enggist",,,,
/artists/505213-3some,3some,Aw3some,6e7CpNGg8zclCxXCRdDMqF,0.83,0.0
/artists/5116528-4-days,4 Days,40 Days,1oX6O22dM0juUBJ4iNIBfs,0.92,0.0
/artists/7982813-4-final,4 Final,Final4,33yENPDQjhSIlNgUayUn9s,0.77,0.0
/artists/105806-4-promille,4 Promille,4 Promille,5zmJrZb4S1gAp7bSBifHQp,1.0,37.0
/artists/3276276-4-wheel-drive,4 Wheel Drive,4 Wheel Drive,0AWByB6iVhqvOALxvpXSVR,1.0,1.0
/artists/10159023-40min-8,40min 8,,,,
/artists/615852-40th,40th,404th,17K2O7NYHYb00i1O4c5scQ,0.89,0.0
/artists/440653-44-leningrad,44 Leningrad,,,,
/artists/5201073-45-degre,45 Degré,45 Degré,0lNqSLBDzPHaUkzHgRAP9z,1.0,0.0
/artists/7619969-45ampm,45AMPM,,,,
/artists/8401843-47soul,47Soul,47 Soul,5nxFmhSekt9Acn4tWZxGge,0.92,30.0
/artists/9685714-47ter,47Ter,47ter,0aXaZj4wB5jLF2E2d8WEVi,0.8,61.0
/artists/8785834-48h-allstars,48h Allstars,,,,
/artists/9514059-4fun-jazzband,4fun Jazzband,,,,
/artists/9353649-4fun-trio,4fun Trio,,,,
/artists/1114045-4th-dimension,4th dimension,4th Dimension,4ZlFbALWdnGwddsSVIjupO,0.92,30.0
/artists/443596-4th-time-around,4th time around,4th Time Around,5frjJUpLZ5GUQCCb4bavZC,0.87,0.0
/artists/10151272-5-1-jahre-borderfree-association,5 (+1) Jahre Borderfree Association,,,,
/artists/5642214-5-seconds-of-summer,5 Seconds of Summer,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,1.0,80.0
/artists/8598769-5-stabbed-4-corpses,5 Stabbed 4 Corpses,Rico 5 Stabbed 4 Corpses,5J6dlS5c3CzyvOmmnomuw8,0.88,0.0
/artists/4559813-5-in-love,5 in Love,5 In Love,7LimWomHmXxYeKMD3Wr3JV,0.89,18.0
/artists/407361-50-cent,50 Cent,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1.0,82.0
/artists/10102776-50sfive,50’s-Five,504 Suave,4fKIt5vWJLCFWMhdOpbQuK,0.44,0.0
/artists/7291379-52-hertz,52 Hertz,52 Hertz,6ndMf0LZx170CLEKoNOvrI,1.0,1.0
/artists/7382209-54-november,54. November,,,,
/artists/9117979-5k-hd,5K HD,5K HD,6ZMLkcfjNwPGCAlL7LvMyr,1.0,29.0
/artists/1550807-5th-floor,5TH FLOOR,4 ON THE FLOOR,1cctoi02r7GrSh0B04v6Vk,0.7,0.0
/artists/7311074-5er,5er,52er,6lzJjOQybT1x2MxTP4lnFw,0.86,0.0
/artists/10096114-6-handful-of-blues,6 Handful of Blues,,,,
/artists/443105-69,6-9,6-9,4J4NpoEyZ048LhU9syvxeZ,1.0,0.0
/artists/10033474-60-miles-trio,60 miles trio,,,,
/artists/4098986-65-mines-street,65 Mines Street,65 Mines Street,5lYvX8wsaRMYjKz4XGYZHK,1.0,2.0
/artists/558929-65daysofstatic,65daysofstatic,65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g,1.0,43.0
/artists/1964788-69-chambers,69 Chambers,69 Chambers,7exA6MZkSnJeNQf6H1QozE,1.0,9.0
/artists/270846-69db,69db,69dbs,2b4iCoR6bckMkkOi22eg01,0.89,0.0
/artists/18828-7-dollar-taxi,7 Dollar Taxi,7 Dollar Taxi,6ogBg2BwrDKImud0S4RlOu,1.0,3.0
/artists/4391263-7-frunde,7 Fründe,,,,
/artists/8659164-7-htarget,7 H.Target,7 H. Target,1u9WmQesE5Av9Biq1681ON,0.95,8.0
/artists/9394624-7-jaws,7 Jaws,7 Jaws,2HXioEvQuzCcNmRsImBTET,1.0,45.0
/artists/10052934-7-vibes-journey,7 Vibes Journey,7 Vibes Journey,3PUbDZZBT7YfA564w5A317,1.0,1.0
/artists/10139325-72-degrees,72 Degrees,72Degrees,3a87XV3jeIfZTOzpKyTIFF,0.95,0.0
/artists/480371-77,77,77,1HC7bjD2r2Ezgs4PITQWvd,1.0,15.0
/artists/3762931-77-bombay-street,77 Bombay Street,77 Bombay Street,0mrnxWCuoCp6q8iSoWEijn,1.0,43.0
/artists/10093241-777christos,777Christos,777Christos,5TRyuww4DHLPPKIrkYykZO,1.0,13.0
/artists/9882184-7pines,7Pines,Spines,0RZk3oDUFgJ7jCE1F3MpPz,0.67,0.0
/artists/8896029-7ubo,7UBO,7UBO,5vc233WRHPH0rB9CVZfHhW,1.0,24.0
/artists/8605579-80-doppel-d,80 Doppel D,80 Doppel D,1eLfjKsD5rFSWueSn0iIf4,1.0,6.0
/artists/8650339-800-gondomar,800 Gondomar,800 Gondomar,6LYpujCssc9sGQK7VIoVm8,1.0,1.0
/artists/215134-808-state,808 State,808 State,7hFdUW64G4iU1tz46ITRfN,1.0,45.0
/artists/3369221-80er,80er,80er,1PMGZq9SAfWkKvKOScWSgG,1.0,1.0
/artists/4166141-80ties,80ties,808Tie,5ZM3LKE2VKAxEAg2ojYval,0.67,27.0
/artists/8568439-8kids,8kids,8kids,6VjFHrnEZ2g4n1wTK9OO72,1.0,30.0
/artists/8468823-8th-wonder,8th Wonder,8th Wonder,7krv9Hgnv3ED1ShaDsMEtT,1.0,2.0
/artists/5178383-8thsin,8thsin,8thSin,4IAAoVhYcxHHkqCwHWFECK,0.83,0.0
/artists/4049801-8x15,8x15,815,37P6P3fPRO0V19UATSbPQ2,0.86,2.0
/artists/3831061-8deg6-crew,8°6 Crew,8°6 Crew,4R7Qd9exnMPJLEacNKnxWF,1.0,29.0
/artists/4891213-9-chambers,9 Chambers,9 Chambers,74sxTH28El1nzOW8zEytjg,1.0,0.0
/artists/4935698-90er,90er,90er,1Z8t5qSQ8PPsRICK1mbNx8,1.0,1.0
/artists/9254234-96ix,96ix,96ix,7ikaxxsNBeCF48l9jkrsSP,1.0,1.0
/artists/563078-999,999,999,14IKysoZ0qyGRsIiTk1Ase,1.0,33.0
/artists/540059-9mm,9MM,9MM,0hYxXnnFEBBK8JDab4lIEM,1.0,29.0
/artists/2946221-9mm-arr,9mm Arr,,,,
