artist_id,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/96298-lina,Lina,Lina,3YPpKFZGAT0O8SJca2Aaj8,47.0,103023.0,133300.0
/artists/7965448-ligna,Ligna,Lina,3YPpKFZGAT0O8SJca2Aaj8,47.0,103023.0,133300.0
/artists/5769989-lingua-mortis,LINGUA MORTIS,Lingua Mortis Orchestra,63AVLDvDrpyxVr66n8yyA6,7.0,2436.0,847.0
/artists/6841594-lingua-mortis-orchestra,Lingua Mortis Orchestra,Lingua Mortis Orchestra,63AVLDvDrpyxVr66n8yyA6,7.0,2436.0,847.0
/artists/9681209-lord-kesseli-and-the-drums,lord kesseli and the drums,Lord Kesseli and the Drums,7kEPX26C3PvemPun7bnWGD,6.0,918.0,375.0
/artists/8451173-lord-kessel-and-the-drums,Lord Kessel And The Drums,Lord Kesseli and the Drums,7kEPX26C3PvemPun7bnWGD,5.0,918.0,384.0
/artists/8177708-lord-soft,Lord Soft,Lords of Black,5PgEqen6HcezHZRU1PJO0Z,34.0,13064.0,80600.0
/artists/8327338-lords-of-black,Lords of Black,Lords of Black,5PgEqen6HcezHZRU1PJO0Z,34.0,13064.0,80600.0
/artists/4947113-lost-alone,Lost Alone,LostAlone,0rAOPs8hf2bB7KECYDdaMC,12.0,3241.0,1700.0
/artists/210970-lostalone,LostAlone,LostAlone,0rAOPs8hf2bB7KECYDdaMC,12.0,3241.0,1700.0
/artists/4511343-luca-marini,Luca Marini,Luca Marino,0Y1HW8SBc44CGnE6TkLPxT,2.0,230.0,104.0
/artists/9280879-luca-marino,Luca Marino,Luca Marino,0Y1HW8SBc44CGnE6TkLPxT,2.0,230.0,104.0
/artists/2688446-niggli,Niggli,Lucas Niggli,0ZsCrNbXiG1JKXjIMWrwW3,7.0,190.0,312.0
/artists/2081883-lucas-niggli,Lucas Niggli,Lucas Niggli,0ZsCrNbXiG1JKXjIMWrwW3,7.0,190.0,312.0
/artists/78545-lucky,Lucky,Lucky,6EVH8rZ1EAJxprA8Izh6Je,34.0,614.0,58100.0
/artists/8429553-luck3y,Luck3y,Lucky,6EVH8rZ1EAJxprA8Izh6Je,34.0,614.0,58100.0
/artists/10098348-luzerner-sinfonieorchester,Luzerner Sinfonieorchester,Luzerner Sinfonieorchester,3bp9jWcdIJ7mBk8Z8RrKCD,24.0,177.0,11000.0
/artists/9734009-lucerne-symphony,Lucerne Symphony,Luzerner Sinfonieorchester,3bp9jWcdIJ7mBk8Z8RrKCD,24.0,177.0,11000.0
/artists/5313478-ms-mr,MS MR,MS MR,4XaUmUGjidSklcDHxv3XWf,46.0,261116.0,353200.0
/artists/8798394-mslm,MSLM,MS MR,4XaUmUGjidSklcDHxv3XWf,46.0,261116.0,353200.0
/artists/416584-mad-dog,Mad Dog,Mad Dog,1uzkHS7XittpyObk3I7E8D,20.0,0.0,230.0
/artists/8279223-mad-dog-it,Mad Dog ,Mad Dog,1uzkHS7XittpyObk3I7E8D,20.0,0.0,230.0
/artists/9720424-madsen-de,Madsen ,Madsen,1LsT3D414izg8h3K1VbrL4,52.0,174962.0,507900.0
/artists/275414-madsen,Madsen,Madsen,1LsT3D414izg8h3K1VbrL4,52.0,174962.0,507900.0
/artists/157987-mad,Mad,Maduk,6TaaqqCMRMSpvNHClfnbEL,55.0,74154.0,642100.0
/artists/4380973-maduk,Maduk,Maduk,6TaaqqCMRMSpvNHClfnbEL,56.0,74154.0,642100.0
/artists/10070013-ma-gda,ma gda,Magda,4ZLVlSUnWLinbhSzAiBrt2,18.0,3300.0,3800.0
/artists/313866-magda,Magda,Magda,4ZLVlSUnWLinbhSzAiBrt2,18.0,3300.0,3800.0
/artists/8046853-magic-and-naked-ch,MAGIC & NAKED ,Magic & Naked,3lZJcvwpzpBRHN7ZalVwkX,15.0,1637.0,6300.0
/artists/7485759-magic-and-naked,Magic and Naked,Magic & Naked,3lZJcvwpzpBRHN7ZalVwkX,16.0,1637.0,6300.0
/artists/2106813-magic-slim-and-teardrops,Magic Slim & Teardrops,Magic Slim & The Teardrops,2HjJcAHHvf3xGxYQ6LXSat,29.0,5282.0,25100.0
/artists/67708-magic-slim-and-the-teardrops,Magic Slim & The Teardrops,Magic Slim & The Teardrops,2HjJcAHHvf3xGxYQ6LXSat,29.0,5282.0,25100.0
/artists/2414363-magic-rays,Magic Rays,Magicrays,6VXg4ZmtUQikwtmVk4s8Vv,1.0,157.0,70.0
/artists/444880-magicrays,Magicrays,Magicrays,6VXg4ZmtUQikwtmVk4s8Vv,1.0,157.0,70.0
/artists/4567848-make-me-a-donut,Make Me a Donut,Make Me A Donut,6t1j1IalJsZUxbprOZ7yBf,4.0,1151.0,280.0
/artists/8046673-make-me-a-donut-ch,MAKE ME A DONUT ,Make Me A Donut,6t1j1IalJsZUxbprOZ7yBf,4.0,1151.0,280.0
/artists/9055379-makewar,MakeWar,MakeWar,0dZUiHIO2BUomz0xwglFiW,27.0,5789.0,21000.0
/artists/8654704-make-war,Make War,MakeWar,0dZUiHIO2BUomz0xwglFiW,27.0,5789.0,21000.0
/artists/125355-mali,Mali,Malik,5jujKJzauvmpXUhyyWo3UD,41.0,3500.0,99900.0
/artists/424332-malik,Malik,Malik,5jujKJzauvmpXUhyyWo3UD,41.0,3500.0,99900.0
/artists/8927299-mane-ch,Mané ,Mane,5li13rGEluEhEu6AOja0sa,18.0,50.0,4200.0
/artists/396838-mane,Mane,Mane,5li13rGEluEhEu6AOja0sa,18.0,50.0,4200.0
/artists/932236-manillio,manillio,Manillio,7uxtLjuqkJ3cnjQQuW6Cul,33.0,15929.0,32400.0
/artists/3620371-manillo,Manillo,Manillio,7uxtLjuqkJ3cnjQQuW6Cul,33.0,15929.0,32299.0
/artists/4200116-manilio,Manilio,Manillio,7uxtLjuqkJ3cnjQQuW6Cul,33.0,15929.0,32299.0
/artists/8912799-manu-louis-vc,Manu Louis ,Manu Louis,37KpmrJJknftKFjXeA1N6B,2.0,252.0,137.0
/artists/8468633-manu-louis,Manu Louis,Manu Louis,37KpmrJJknftKFjXeA1N6B,2.0,252.0,137.0
/artists/10091948-manuel-walser,Manuel Walser,Manuel Walser,3LNGosVeFYo11zTHZ7oj2j,3.0,26.0,361.0
/artists/8022418-manuel-wulse,Manuel Wülse,Manuel Walser,3LNGosVeFYo11zTHZ7oj2j,3.0,26.0,361.0
/artists/7299119-marcolivier-oetterli,Marc-Olivier Oetterli,Marc-Olivier Oetterli,3f2w0c2aUqSCvsMVpcICOg,0.0,2.0,92.0
/artists/8114813-marc-olivier-oetterli,Marc Olivier Oetterli,Marc-Olivier Oetterli,3f2w0c2aUqSCvsMVpcICOg,0.0,2.0,92.0
/artists/10143898-marco-kappeli,Marco Kappeli,Marco Käppeli,01PFotUdgpp0lu0zrmKCaF,0.0,11.0,29.0
/artists/10113663-kappeli,Käppeli,Marco Käppeli,01PFotUdgpp0lu0zrmKCaF,0.0,11.0,29.0
/artists/4392958-maribou-state,Maribou State,Maribou State,7zrkALJ9ayRjzysp4QYoEg,64.0,267191.0,2500000.0
/artists/8046848-marilou-ch,MARILOU ,Maribou State,7zrkALJ9ayRjzysp4QYoEg,64.0,267191.0,2500000.0
/artists/317102-marilyn-manson,Marilyn Manson,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,72.0,3427151.0,5700000.0
/artists/10111465-man-man-man,Man Man Man,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,72.0,3427151.0,5700000.0
/artists/136719-mario-biondi,Mario Biondi,Mario Biondi,1dRsXw2TtfCXfqMLRiP088,53.0,108149.0,407500.0
/artists/8523223-mario-bondi,Mario bondi,Mario Biondi,1dRsXw2TtfCXfqMLRiP088,53.0,108149.0,407500.0
/artists/92822-mark-feldman,Mark Feldman,Mark Feldman,4SOKSspBiacwf4ovOGG2iA,15.0,702.0,6200.0
