,artist_id,linked_artist_id,artist_name,spotify_name,spotify_id,spotify_followers,spotify_listeners
0,/artists/3684861-chk-chk-chk,/artists/3684861-chk-chk-chk,!!! (Chk Chk Chk),!!!,1mmehjf7eHA10uHMisZGJg,135100.0,305800.0
1,/artists/694091-kadebostan,/artists/694091-kadebostan,!!!Kadebostan!!!,Kadebostan,6hWRK8VkzbYP9p17M5APJR,1348.0,2000.0
2,/artists/5929284-brothers-in-bamako,/artists/5929284-brothers-in-bamako,"""Brothers In Bamako""",,,,
3,/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,/artists/8704378-floyd-division-the-austrian-pink-floyd-tribute-band,"""Floyd Division"" The Austrian Pink Floyd Tribute Band",,,,
4,/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,/artists/7172094-jazzetcetera-stewy-von-wattenwyl-group-feat-lisette-spinnler,"""Jazz...etcetera"" Stewy von Wattenwyl Group,  feat. Lisette Spinnler",,,,
5,/artists/7433784-pyramids-jazz,/artists/7433784-pyramids-jazz,"""The Pyramids"" ",The Pyramids,7Krj6vYZibCNyVu9iLqlt8,5153.0,27100.0
6,/artists/8375378-agcrew,/artists/555641-acres,#AGCrew,Acres,3y43zXffnLmhyQD1K4QCmD,17807.0,26900.0
7,/artists/44425-smoove,/artists/44425-smoove,$MOOVE,$moove,3fPGaOzFjcynEbxfinAGi4,15.0,75.0
8,/artists/7809989-and-francis-fruit,/artists/7809989-and-francis-fruit,& Francis Fruit,,,,
9,/artists/8672184-and-friends,/artists/8672184-and-friends,& Friends,& Friends,2eRxdRJPlhgdDk9SC6UJD2,117.0,75.0
10,/artists/7958443-and-the-calling-sirens,/artists/1850222-calling-sirens,& The Calling Sirens,The Calling Sirens,1ORY7bHVmnSxZ82DWV6So9,77.0,27.0
11,/artists/19529-etre,/artists/19529-etre,(Etre),(Etre),6QF7pAFRSjBDEDfIlIpgtj,18.0,27.0
12,/artists/131307-hed-pe,/artists/131307-hed-pe,(Hed) P.E.,(Hed) P.E.,0xIChbcTsuYLueN1oEsX9v,158562.0,405500.0
13,/artists/354666-bihtnik,/artists/354666-bihtnik,(bih`tnik),[bih'tnik],2zlnW9GESgL9jhjal3tUzJ,71.0,44.0
14,/artists/1301647-meer,/artists/1301647-meer,**@meer**,MEER,4pAX6VBnbccF9uVcb9EGiq,1420.0,2400.0
15,/artists/888062-food-for-ya-soul,/artists/888062-food-for-ya-soul,*FOOD FOR YA SOUL*,,,,
16,/artists/8309718-special-guest-tba,/artists/8309718-special-guest-tba,+ Special Guest TBA,,,,
17,/artists/5563503-,/artists/5563503-,+++,+++,2omFrAln7XB3qMAc79qR6q,118.0,194.0
18,/artists/9525634-sylvano,/artists/9525634-sylvano,- sylvano -,SYLVANO,4dE0APO4S5W1VLeYCKMuO4,1039.0,212.0
19,/artists/1367596-m,/artists/1367596-m,-M-,-M-,6soPpJHlCtN6SY8pWlfbC6,338648.0,1200000.0
20,/artists/642733-nesseria,/artists/642733-nesseria,-NESSERIA -,Nesseria,4JwOufSgwNfYW2l62ZWVuT,731.0,120.0
21,/artists/738563-stylez,/artists/738563-stylez,-Stylez-,X-Stylez,0HUWy6PHHNrDsZS2EcoQbt,902.0,1400.0
22,/artists/589187-,/artists/589187-,...,...,0Xy7pMtVf9WXxibcd0TefP,207.0,1400.0
23,/artists/1285966-well,/artists/1285966-well,....WËLL....,WELL$,0LHzh8WdqxdtnTzp0XIOyZ,8468.0,143900.0
24,/artists/9850299-leaves-ger,/artists/9850299-leaves-ger,.Leaves ,.Leaves,4sDPglsR1TdpkFfOHcbTQx,85.0,36.0
25,/artists/474915-hack,/artists/474915-hack,.hack,Hack,6igU78hsXAtUIqxnYJDBET,257.0,184.0
26,/artists/10159035-a-ch,/artists/10159035-a-ch,/A\ ,/A\,1WA1SWeNziSZUY0oCtNeP7,656.0,1400.0
27,/artists/5352303-05ric,/artists/5352303-05ric,05ric,06Ricky,5sBmJ5y2Cw745BK3kCG3ce,5.0,7.0
28,/artists/8166653-10-for-14,/artists/8166653-10-for-14,10 for 14,,,,
29,/artists/292381-10000-maniacs,/artists/292381-10000-maniacs,"10,000 Maniacs","10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj,285280.0,818800.0
30,/artists/8360073-10000-russos,/artists/8360073-10000-russos,"10,000 Russos",10 000 Russos,2pkZFQGkxsNYlJK5jO4z3L,4302.0,5400.0
31,/artists/9541484-100-kilo-herz,/artists/9541484-100-kilo-herz,100 Kilo Herz,100 Kilo Herz,6sKOC3XdcoRZHh70zwnWFg,5019.0,22300.0
32,/artists/6696839-1000-gram,/artists/6696839-1000-gram,1000 GRAM,1000 Gram,2vI9z0IykY4dNai8Lmm2va,1456.0,1300.0
33,/artists/357052-1000mods,/artists/357052-1000mods,1000mods,1000mods,7EgAHTw2PMP7a1tAEtue89,81137.0,120700.0
34,/artists/480184-100blumen,/artists/480184-100blumen,100blumen,100blumen,0yrqNuQtHb3ZEwWcCqNGYV,1492.0,787.0
35,/artists/9062169-102-boyz,/artists/9062169-102-boyz,102 BOYZ,102 Boyz,78TTCmh2koperK5NBn7DgR,153782.0,1100000.0
36,/artists/324463-10cc,/artists/324463-10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,508482.0,3700000.0
37,/artists/6723079-11-louder,/artists/6723079-11-louder,11 Louder,11 Louder,4OO0wubvxHn9ipOz1RLmHz,53.0,7.0
38,/artists/7858804-117elements,/artists/7858804-117elements,117Elements,117 Elements,36cCLafvN0HL5yIM8u46zS,154.0,39.0
39,/artists/2398431-11a,/artists/2398431-11a,11a,11A,4SJhEHnxSEiZjmK6Mt26HL,0.0,39.0
40,/artists/366820-120-days,/artists/366820-120-days,120 Days,120 Days,33IhQgRHcYIuAdlk1VN77v,2395.0,1100.0
41,/artists/89736-1280-almas,/artists/89736-1280-almas,1280 Almas,1280 Almas,5skZhjSLizA2G1bJQp2iNM,51883.0,43800.0
42,/artists/2070755-12th-planet,/artists/2070755-12th-planet,12th Planet,12th Planet,3V1h3kAdiVDBiwlY2i6dJz,173925.0,550800.0
43,/artists/9552549-13-block,/artists/9552549-13-block,13 Block,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,530427.0,550700.0
44,/artists/8920989-13-crowes,/artists/8920989-13-crowes,13 Crowes,13 Crowes,7d1O1AxAp2Opr5LdB35aGW,1869.0,1000.0
45,/artists/9506864-13-years-cicada,/artists/9506864-13-years-cicada,13 years cicada,,,,
46,/artists/5371483-130-bpm,/artists/5371483-130-bpm,130 Bpm,180 BPM,5Ni6KiU8wxNb3mMAcidDJC,2254.0,1400.0
47,/artists/458371-1349,/artists/458371-1349,1349,1349,150xbiJGnTy1tSBZ9EFKnT,85951.0,28300.0
48,/artists/6105749-13starz,/artists/6105749-13starz,13Starz,,,,
49,/artists/3020176-15-tubes-en-live,/artists/3020176-15-tubes-en-live,15 Tubes En Live,,,,
50,/artists/208742-16,/artists/208742-16,16,16,35m8xtAGmqjnArbq8Xnndp,6536.0,3700.0
51,/artists/2445921-16-bitch-pileup,/artists/2445921-16-bitch-pileup,16 Bitch Pile-up,,,,
52,/artists/407824-16-horsepower,/artists/407824-16-horsepower,16 Horsepower,16 Horsepower,188gwh9RnRT58ZQPwqwHE3,51165.0,115600.0
53,/artists/306885-17-hippies,/artists/306885-17-hippies,17 Hippies,17 Hippies,3Tq2hRlRrQzA4Zq2ncYiiA,23749.0,54700.0
54,/artists/4518913-17f,/artists/4518913-17f,17f,17F,2ChuZPPV5mzqwXEcyNf0TV,0.0,8.0
55,/artists/3949041-18-strings,/artists/3949041-18-strings,18 Strings,18 Strings,0nQtoo02M46j8QohmrvDh4,82.0,35.0
56,/artists/5392173-187-strassenbande,/artists/5392173-187-strassenbande,187 Strassenbande,187 Strassenbande,2j2rh3oQh4QEUnNTDKYSJD,1250966.0,1700000.0
57,/artists/5008498-19052012,/artists/5008498-19052012,19.05.2012,,,,
58,/artists/9312694-1921,/artists/9312694-1921,1921,1921,5632EL71unaPUypzrvtp8y,484.0,1700000.0
59,/artists/552063-1982,/artists/552063-1982,1982,1982,4xRobnExsPK6sV1i7tEwp3,1768.0,824.0
60,/artists/81873-1989,/artists/81873-1989,1989,1989,04VREmuFHXQ1VNqQTYhTYk,73.0,40.0
61,/artists/510732-1995,/artists/510732-1995,1995,1995,4CH2uNha7qT33gsr1y60Ca,201858.0,295800.0
62,/artists/8564529-1997ev,/artists/8564529-1997ev,1997EV,1997EV,0YtCnXj4S22ZZOm6PJhj8b,4.0,295800.0
63,/artists/9365974-1kub,/artists/9365974-1kub,1KUB,1KUB,5bS55SQZJBjhaxUPUYluEw,41.0,2200.0
64,/artists/8005233-1er-partie-hyren,/artists/8005233-1er-partie-hyren,1er Partie Hyren,,,,
65,/artists/4467063-2-chainz,/artists/4467063-2-chainz,2 Chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,6687389.0,10800000.0
66,/artists/4740558-2-special,/artists/4740558-2-special,2 Special,2 Special,6VjDL6MptjB753JgXvR3NU,1.0,4.0
67,/artists/4343276-2-support,/artists/4343276-2-support,2 Support,2nd Level Support,6T7AyOD9JPA649PqeLV0G7,0.0,4.0
68,/artists/3181586-2-tages,/artists/3181586-2-tages,2 Tages,2:Tages:Bart,79te3u5Y58OU3OsyNFxkzC,148.0,1600.0
69,/artists/377506-2-unlimited,/artists/377506-2-unlimited,2 Unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,181844.0,1400000.0
70,/artists/6338854-2takt,/artists/6338854-2takt,2-Takt,Zwei-Takt,1rd45fwPznfghLBjx8N9wz,25.0,25.0
71,/artists/8631869-20-watt-tombstone,/artists/8631869-20-watt-tombstone,20 Watt Tombstone,20 Watt Tombstone,4QydkamDuA2eBx2F9UYDTQ,4380.0,10400.0
72,/artists/8158983-20-years-gurd,/artists/8158983-20-years-gurd,20 Years Gurd,,,,
73,/artists/718633-2000-and-one,/artists/718633-2000-and-one,2000 and One,2000 And One,030NUgrxJxZPLc7cXUhgvD,6486.0,25300.0
74,/artists/9765744-2001-ch,/artists/9765744-2001-ch,2001 ,2001,5daoc7HJiVqtUsPUXN8FJD,398.0,8600.0
75,/artists/2984006-202project,/artists/2984006-202project,202.project,202Project,26sE8dolV80TfqJ2rWXPmj,16.0,3.0
76,/artists/7617119-20dark7,/artists/7617119-20dark7,20dark7,,,,
77,/artists/10094045-21-juin-le-duo,/artists/10094045-21-juin-le-duo,21 Juin Le Duo,21 Juin Le Duo,0UUuBtaLyglYTbgfjTw1vT,568.0,4800.0
78,/artists/159832-22,/artists/159832-22,22,22,0Op82sqzI45fNMecmDiJDx,6853.0,15900.0
79,/artists/9804639-22-halo,/artists/9804639-22-halo,22 Halo,22º Halo,6p355yiyJc67iSNeWLM8WH,1179.0,2700.0
80,/artists/309223-22pistepirkko,/artists/309223-22pistepirkko,22-Pistepirkko,22-Pistepirkko,7viKRqdDIZZ6ZHdmcGQX3m,9082.0,30800.0
81,/artists/10119580-22deg-halo,/artists/9804639-22-halo,22° Halo,22º Halo,6p355yiyJc67iSNeWLM8WH,1179.0,2700.0
82,/artists/4893554-23rd-grade-of-evil,/artists/4893554-23rd-grade-of-evil,23rd Grade of Evil,23rd Grade of Evil,7EtVyplYzflfXQaq1TwbxR,151.0,34.0
83,/artists/3503621-24-pesos,/artists/3503621-24-pesos,24 Pesos,24 Pesos,5F62xYSX3SUCCwwDdHjR9J,134.0,79.0
84,/artists/549578-247-spyz,/artists/549578-247-spyz,24-7 Spyz,24-7 Spyz,5EvYDcSvmVxZuMe4faStNq,11085.0,11100.0
85,/artists/9599579-247-diva-heaven,/artists/9599579-247-diva-heaven,24/7 DIVA HEAVEN,24/7 Diva Heaven,1FRmvAlteQnT8HE4rqvU2C,1100.0,1700.0
86,/artists/9703194-24dias,/artists/9703194-24dias,24Dias,24Dias,3NT7dZuo1xv8M1ENLOOqS5,206.0,260.0
87,/artists/4567838-25-years-oldies,/artists/4567838-25-years-oldies,25 Years Oldies,,,,
88,/artists/1006331-2562,/artists/1006331-2562,2562,2562,2leze82lbuNUn3K4c7nS1B,8054.0,4400.0
89,/artists/3689796-257ers,/artists/3689796-257ers,257ers,257ers,6ihLfpY3cmdGyWEnItn30w,376255.0,1000000.0
90,/artists/3130666-25plus,/artists/3130666-25plus,25plus,2plus1,4bzs3jM8CJ3m2xfJfemIr6,6608.0,16300.0
91,/artists/8429543-2ca,/artists/8429543-2ca,2CA,2Can,2RlqbCVLAyXBprZrmnjkDq,1652.0,4100.0
92,/artists/4392693-2cellos,/artists/4392693-2cellos,2CELLOS,2CELLOS,6Fi8CHfO8WGtu3yO8c2Mc4,846825.0,1100000.0
93,/artists/8511828-2henning,/artists/8511828-2henning,2HENNING,2henning,2kWtxODG2O2EVYolADc9XE,14.0,1.0
94,/artists/8275573-2komplex,/artists/8275573-2komplex,2Komplex,2Komplex,5B0ABKR0QFMUM1I7zMaqtM,103.0,133.0
95,/artists/3453506-2duos,/artists/3453506-2duos,2duos,2Duos,3LJUCCuXPL347r8HYcHksA,25.0,57.0
96,/artists/1997583-2econd-class-citizen,/artists/1997583-2econd-class-citizen,2econd class citizen,2econd Class Citizen,7moWOJPcZM7hjGb2YhTflG,3530.0,5800.0
97,/artists/9076074-2manydjs-dj-set,/artists/9076074-2manydjs-dj-set,2manydjs (DJ Set),,,,
98,/artists/105947-2raumwohnung,/artists/105947-2raumwohnung,2raumwohnung,2raumwohnung,6BHpFo1cbGCGLWh28wa43x,67112.0,242900.0
