spotify_genre,occurrences
indian metal,2
indian percussion,1
indian rock,1
indian techno,1
indian violin,1
indiana hip hop,1
indiana indie,1
indie anthem-folk,65
indie boliviano,1
indie catala,4
indie cordoba,1
indie curitibano,1
indie dream pop,13
indie electronica,15
indie electropop,13
indie emo,1
indie emo rock,1
indie folk,227
indie folk argentino,1
indie folk italiano,4
indie fuzzpop,4
indie game soundtrack,3
indie garage rock,77
indie jazz,64
indie liguria,1
indie platense,2
indie pop,166
indie pop rap,16
indie pop rock,2
indie poptimism,49
indie psych-pop,3
indie psychedelic rock,5
indie punk,78
indie quebecois,59
indie queretano,1
indie r&b,28
indie rock,264
indie rock italiano,9
indie rock mexicano,2
indie rockism,1
indie salvadoreno,1
indie shoegaze,6
indie siciliano,3
indie singer-songwriter,4
indie soul,144
indie surf,33
indie tico,2
indie triste,1
indie veneto,8
indiecoustica,27
indietronica,78
indonesian death metal,3
indonesian deathcore,1
indonesian emo,1
indonesian folk pop,1
indonesian hardcore,1
indonesian hip hop,1
indonesian indie,5
indonesian indie pop,1
indonesian indie rock,1
indonesian jazz,1
indonesian metal,1
indonesian pop,2
indonesian post-hardcore,1
indonesian psychedelia,1
indonesian punk,1
indonesian reggae,1
indonesian rock,1
indorock,1
industrial,50
industrial black metal,3
industrial hardcore,7
industrial hip hop,10
industrial metal,84
industrial noise,2
industrial rock,51
industrial techno,4
indy indie,1
instrumental acoustic guitar,1
instrumental black metal,2
instrumental bluegrass,4
instrumental death metal,1
instrumental djent,8
instrumental funk,14
instrumental grime,5
instrumental math rock,13
instrumental post-rock,37
instrumental progressive metal,5
instrumental rock,44
instrumental soul,2
instrumental stoner rock,25
instrumental surf,10
intelligent dance music,49
inuit pop,1
iowa indie,1
iranian experimental,1
irish accordion,1
irish banjo,2
irish black metal,2
irish country,1
irish dance,2
irish death metal,2
irish electronic,5
irish experimental,2
irish experimental electronic,2
irish folk,14
irish hip hop,2
irish indie,5
irish indie rock,10
irish metal,3
irish modern jazz,1
irish neo-traditional,16
irish pop,13
irish rock,25
irish singer-songwriter,26
irish techno,4
isle of wight indie,2
israeli classical piano,3
israeli folk,1
israeli hip hop,1
israeli indie,15
israeli jazz,20
israeli mediterranean,2
israeli metal,9
israeli pop,7
israeli punk,5
israeli rock,3
israeli singer-songwriter,8
israeli techno,8
italian adult pop,82
italian alternative,26
italian baroque,2
italian baroque ensemble,2
italian black metal,11
italian blues,7
italian classical piano,4
italian contemporary jazz,13
italian death metal,8
italian disco,7
italian doom metal,5
italian electronica,10
italian emo,3
italian experimental,5
italian folk,5
italian folk metal,10
italian gothic,6
italian gothic metal,5
italian hardcore,7
italian heavy metal,1
italian hip hop,36
italian indie pop,30
italian industrial,1
italian jazz,22
italian lounge,4
italian metal,27
italian metalcore,8
italian mezzo-soprano,1
italian modern prog,1
italian new wave,3
italian occult psychedelia,6
italian opera,1
italian orchestra,3
italian pop,29
italian pop punk,4
italian pop rock,7
italian post punk,10
italian post-hardcore,5
italian post-rock,4
italian power metal,10
italian progressive metal,3
italian progressive rock,7
italian punk,4
italian reggae,9
italian rockabilly,2
italian ska,12
italian soundtrack,2
italian stoner rock,14
italian tech house,5
italian techno,20
italian tenor,2
italian trance,8
italian underground hip hop,12
italo beats,1
italo dance,5
italo house,1
italogaze,8
j-ambient,2
j-core,1
j-division,1
j-indie,1
j-metal,14
j-pixie,2
j-pop,7
j-pop boy group,1
j-pop girl group,1
j-poprock,3
j-punk,6
j-rap,1
j-reggae,1
j-rock,12
jacksonville indie,2
jam band,19
jamgrass,1
jamtronica,2
jangle pop,4
japanese alternative pop,1
japanese alternative rock,4
japanese chillhop,2
japanese classical performance,1
japanese dance pop,1
japanese electronic,1
japanese electropop,1
japanese emo,3
japanese experimental,7
japanese garage rock,4
japanese girl punk,3
japanese heavy metal,1
japanese idm,1
japanese indie folk,1
japanese indie pop,2
japanese indie rock,1
japanese jazz,6
japanese jazz fusion,1
japanese jazztronica,2
japanese math rock,3
japanese melodic punk,1
japanese metalcore,2
japanese new wave,1
japanese old school hip hop,1
japanese pop punk,2
japanese post-hardcore,2
japanese post-punk,1
japanese post-rock,6
japanese power metal,2
japanese prog,1
japanese psychedelic,4
japanese psychedelic rock,5
japanese punk rock,4
japanese r&b,3
japanese rockabilly,1
japanese shoegaze,3
japanese ska,2
japanese soul,1
japanese techno,5
japanese underground rap,2
japanese vgm,3
japanese vtuber,1
japanoise,6
jaw harp,1
jawaiian,6
jazz,81
jazz accordion,3
jazz blues,7
jazz boom bap,30
jazz brass,11
jazz caraibes,4
jazz catala,4
jazz chileno,2
jazz clarinet,4
jazz colombiano,1
jazz composition,2
jazz cover,1
jazz cubano,11
jazz dominicano,1
jazz double bass,18
jazz drums,26
jazz funk,42
jazz fusion,109
jazz guitar,35
jazz harp,2
jazz house,6
jazz metal,25
jazz orchestra,4
jazz organ,10
jazz piano,33
jazz pop,17
jazz puertorriqueno,3
jazz quartet,16
jazz rap,29
jazz rock,7
jazz saxophone,49
jazz trio,25
jazz trombone,10
jazz trumpet,33
jazz venezolano,1
jazz vibraphone,8
jazz violin,13
jazzcore,5
jazztronica,19
jazzy dnb,6
jersey club,1
jewish hip hop,3
jig and reel,2
jordanian pop,1
jovem guarda,2
jugendchor,1
jump blues,1
jump up,35
jumpstyle,1
jungle,22
k-indie,2
k-pop,12
k-pop boy group,4
k-pop girl group,2
k-rap,6
k-rock,1
kabarett,27
kabyle,2
kansai indie,1
kansas city hip hop,2
kansas indie,2
karadeniz pop,1
karadeniz turkuleri,1
karneval,2
kashmiri pop,1
kavkaz,2
kawaii metal,3
kayokyoku,1
kc indie,5
kelowna bc indie,3
kent indie,7
kentucky hip hop,1
kentucky metal,1
kentucky punk,2
kentucky roots,1
kenyan alternative,1
kenyan hip hop,1
kenyan pop,3
keroncong,1
kids hip hop,1
kikuyu gospel,1
kindermusik,4
kingston on indie,1
kirtan,11
kiwi rock,11
kizomba,6
kizomba antigas,3
kleine hoerspiel,2
kleinkunst,1
klezmer,8
knoxville indie,1
kollywood,1
kolsche karneval,6
kora,12
korean city pop,2
korean classical performance,1
korean classical piano,1
korean dream pop,2
korean experimental,2
korean hardcore,1
korean indie rock,3
korean jazz,1
korean metal,2
korean old school hip hop,1
korean pop,5
korean r&b,5
korean superband,2
kosovan pop,5
krautrock,15
kritika,1
kuduro,3
kuduro antigo,1
kundalini,1
kurdish hip hop,3
kurdish pop,1
kwaito,2
la indie,29
la pop,14
laboratorio,26
lafayette indie,3
lagu iban,1
lagu sunda,1
laiko,5
lancashire indie,2
lancaster pa indie,1
landler,2
latin,60
latin afrobeat,10
latin alternative,33
latin american classical piano,3
latin american heavy psych,1
latin arena pop,6
latin christian,3
latin classical,1
latin hip hop,18
latin house,4
latin jazz,20
latin metal,10
latin pop,29
latin rock,27
latin shoegaze,1
latin ska,4
latin tech house,3
latin viral pop,3
latin worship,3
latincore,3
latintronica,13
latinx alternative,1
latvian electronic,1
latvian folk,1
latvian indie,6
latvian metal,2
latvian pop,5
latvian rock,1
lawrence ks indie,5
lebanese indie,8
lebanese pop,1
leeds indie,10
leicester indie,5
leipzig electronic,9
leipzig indie,14
lesen,2
lexington ky indie,2
lgbtq+ hip hop,12
library music,1
liechtenstein,6
liedermacher,52
lilith,60
limerick indie,1
lincoln ne indie,1
liquid funk,35
lithuanian edm,1
lithuanian electronic,1
lithuanian indie,3
lithuanian metal,2
lithuanian pop,1
little rock indie,1
liverpool indie,11
livetronica,6
lo star,3
lo-fi,24
lo-fi beats,2
lo-fi emo,3
lo-fi house,8
lo-fi indie,9
lo-fi jazzhop,9
lo-fi product,1
lo-fi rap,3
london indie,9
london rap,5
long island punk,6
louisiana blues,6
louisiana metal,6
louisville indie,2
louisville underground,3
lounge,15
lounge house,1
louvor,1
lovecraftian metal,4
lovers rock,44
lowercase,8
lowlands hardcore,5
lund indie,3
lute,2
luxembourgian electronic,1
luxembourgian indie,9
luxembourgian metal,2
macedonian folk,2
macedonian indie,2
madchester,15
madrigal,2
magyar alternative,7
magyar retro dance,2
maine hip hop,1
maine indie,2
makossa,6
malagasy folk,3
malawian folk,1
malaysian indie,1
malaysian pop,5
maldivian pop,1
malian blues,23
mallet,3
malmo indie,6
maloya,2
maltese metal,3
manchester hip hop,1
manchester indie,9
mande pop,25
mandible,19
mandolin,3
mandopop,1
manele,1
manguebeat,6
manipuri pop,1
manitoba indie,12
mariachi,3
martial industrial,8
mashup,4
math pop,20
math rock,15
mathcore,15
mathgrind,1
mbalax,1
mbira,2
medieval ensemble,1
medieval folk,27
medieval rock,31
meditation,6
medway sound,2
melancholia,82
melanesian pop,1
melbourne bounce,5
melbourne bounce international,7
melbourne indie,11
mellow gold,117
melodic black metal,16
melodic death metal,81
melodic deathcore,14
melodic doom,4
melodic dubstep,2
melodic groove metal,6
melodic hard rock,31
melodic hardcore,119
melodic metal,101
melodic metalcore,175
melodic power metal,5
melodic progressive metal,7
melodic rap,11
melodic techno,21
melodic thrash,13
melodipop,1
meme rap,5
memphis americana,5
memphis blues,1
memphis hip hop,3
memphis indie,3
memphis soul,3
merengue tipico,1
merseybeat,7
mestissatge,3
metal,233
metal baiano,2
metal catala,8
metal colombiano,2
metal gaucho,1
metal gotico,1
metal guitar,4
metal mineiro,2
metal noir quebecois,1
metalcore,180
metalcore espanol,1
metallic hardcore,26
metropopolis,81
mexican classic rock,1
mexican death metal,1
mexican edm,1
mexican electronic,1
mexican experimental,1
mexican hardcore,2
mexican hip hop,2
mexican indie,5
mexican metal,7
mexican pop,8
mexican pop punk,3
mexican post-rock,1
mexican rock,8
mexican rock-and-roll,1
mexican son,1
mexican techno,2
mgp,1
mgpjr,2
miami bass,2
miami hip hop,8
miami indie,1
miami metal,5
michigan folk,1
michigan indie,2
microhouse,131
microtonal,2
middle earth,1
middle east hip hop,2
midwest americana,4
midwest emo,22
milan indie,7
military band,1
milwaukee hip hop,1
milwaukee indie,2
min'yo,1
minimal dnb,5
minimal dub,44
minimal dubstep,2
minimal melodic techno,2
minimal synth,3
minimal tech house,104
minimal techno,168
minimal wave,15
minimalism,8
minneapolis indie,1
minneapolis metal,2
minneapolis punk,3
minneapolis sound,3
minnesota hip hop,10
mississippi hip hop,1
mississippi indie,3
missouri indie,1
mod revival,6
modern alternative pop,2
modern alternative rock,61
modern big band,7
modern blues,113
modern blues rock,140
modern bollywood,1
modern cello,9
modern chamber music,2
modern country rock,10
modern dream pop,15
modern electroacoustic,8
modern folk rock,37
modern free jazz,9
modern funk,39
modern hard rock,90
modern indie folk,4
modern indie pop,4
modern jangle pop,2
modern jazz piano,37
modern jazz trio,29
modern mod,1
modern old-time,2
modern performance,2
modern power pop,17
modern progressive rock,7
modern psychedelic folk,6
modern reggae,73
modern rock,281
modern salsa,5
modern ska punk,23
modern southern rock,11
modern string quartet,5
modern swing,4
modern uplift,1
moderne ludovky,1
modular synth,8
modular techno,4
molam,1
moldovan pop,1
mongolian folk,1
mongolian hip hop,1
mongolian pop,2
montana roots,1
montenegrin pop,1
monterrey indie,1
montreal indie,14
moombahton,12
moorish traditional,3
morna,7
moroccan pop,2
motown,19
movie tunes,2
mpb,29
multidisciplinary,4
mundart,71
munich electronic,11
munich indie,21
musica afroperuana,2
musica andina,3
musica andorra,2
musica angolana,2
musica aragonesa,1
musica baiana,1
musica cabo-verdiana,1
musica capixaba,1
musica catalana,5
musica costarricense,1
musica criolla,1
musica etnica,5
musica indigena latinoamericana,1
musica infantil,1
musica juiz-forana,1
musica lombarda,3
musica maranhense,1
musica mato-grossense,1
musica menorquina,1
musica occitana,1
musica para criancas,1
musica para ninos,1
musica per bambini,4
musica popular colombiana,2
musica popular mineira,2
musica portuguesa contemporanea,3
musica sergipana,1
musica timor-leste,1
musica tradicional cubana,8
musica tradicional dominicana,1
musica triste brasileira,1
musik anak-anak,1
musique acadienne,1
musique ancienne,1
musique concrete,2
musique guadeloupe,3
musique mandingue,3
musique mauritanienne,3
musique pour enfants,3
musique touareg,1
musique traditionnelle congolaise,4
nantes indie,13
narodna muzika,3
narodno zabavna,2
nashville americana,4
nashville indie,7
nashville singer-songwriter,5
nashville sound,3
native american,4
native american contemporary,3
native american hip hop,1
necrogrind,1
nederlandse hardstyle,1
nederpop,8
neo classical metal,81
neo honky tonk,2
neo kyma,2
neo mellow,86
neo metal,16
neo r&b,12
neo soul,79
neo-classical,46
neo-crust,13
neo-industrial rock,2
neo-kraut,23
neo-progressive,33
neo-proto,2
neo-psicodelia brasileira,1
neo-psychedelic,97
neo-rockabilly,12
neo-singer-songwriter,8
neo-synthpop,36
neo-trad doom metal,10
neo-trad metal,34
neo-traditional bluegrass,4
neo-traditional country,1
neoclassical darkwave,27
neofolk,17
neomelodici,2
neon pop punk,23
neotango,7
nepali indie,1
nerdcore,1
neue deutsche harte,39
neue deutsche todeskunst,17
neue deutsche welle,15
neue volksmusik,12
neurofunk,34
neurostep,1
new age,9
new age piano,1
new americana,99
new beat,4
new brunswick indie,7
new comedy,1
new england americana,7
new england emo,5
new england experimental,1
new england metal,2
new french touch,97
new hampshire indie,2
new isolationism,30
new jack swing,17
new jersey hardcore,7
new jersey indie,16
new jersey punk,7
new jersey rap,11
new jersey underground rap,1
new orleans americana,5
new orleans blues,4
new orleans funk,6
new orleans indie,4
new orleans jazz,8
new rave,156
new romantic,60
new tribe,5
new wave,81
new wave of glam metal,13
new wave of osdm,7
new wave of speed metal,9
new wave of thrash metal,33
new wave pop,96
new weird america,24
new weird finland,2
new york death metal,10
newcastle indie,6
newcastle nsw indie,2
newfoundland indie,2
ngoni,9
nice indie,4
nigerian hip hop,2
nigerian pop,8
nightrun,9
ninja,56
nintendocore,14
nitzhonot,2
nl folk,3
no wave,13
noise,11
noise pop,55
noise punk,10
noise rock,49
noisecore,8
nordic ambient,2
nordic classical piano,1
nordic contemporary classical,2
nordic folk,7
nordic folk metal,14
nordic orchestra,2
nordic post-rock,11
nordic shoegaze,3
nordic soundtrack,2
nordnorsk musikk,4
nordnorsk ponk,1
normal indie,1
norrbotten indie,1
norrlandsk hip hop,1
norsk lovsang,1
norske viser,6
norteno,1
north carolina emo,2
north carolina hip hop,3
north carolina indie,3
north carolina metal,9
north carolina roots,3
north dakota indie,2
north east england indie,5
northamptonshire indie,2
northern irish indie,11
northern irish punk,4
norwegian alternative rock,9
norwegian americana,4
norwegian black metal,25
norwegian blues,2
norwegian contemporary jazz,20
norwegian country,3
norwegian death metal,3
norwegian doom metal,6
norwegian experimental,13
norwegian folk rock,2
norwegian gospel,1
norwegian hardcore,11
norwegian house,2
norwegian indie,26
norwegian jazz,27
norwegian metal,34
norwegian pop,23
norwegian prog,4
norwegian psychedelic,8
norwegian punk rock,4
norwegian rock,30
norwegian singer-songwriter,9
norwegian space disco,3
norwegian techno,2
norwegian trap,1
nottingham hip hop,3
nottingham indie,11
nouvelle chanson francaise,121
nova mpb,15
nova musica paulista,2
nova musica pernambucana,2
nu age,4
nu disco,44
nu gaze,43
nu jazz,76
nu metal,144
nu skool breaks,12
nu-cumbia,10
nu-metalcore,19
nubian traditional,1
nueva cancion,6
nuevo flamenco,10
nuevo folklore argentino,4
nuevo folklore mexicano,2
nuevo tango,4
nursery,1
nwobhm,14
nwocr,34
nwothm,35
ny roots,1
nyc metal,10
nyc pop,6
nyc rap,4
nyhc,13
nz christian,1
nz dnb,5
nz electronic,7
nz folk,8
nz hardcore,3
nz hip hop,3
nz indie,13
nz jazz,2
nz metal,2
nz pop,16
nz punk,2
nz reggae,7
nz singer-songwriter,5
oakland hip hop,2
oakland indie,10
oaxaca indie,2
oc indie,3
occult black metal,3
ocean,1
oceania soundtrack,1
ohio hip hop,6
oi,50
ok indie,4
okc indie,1
okinawan pop,1
oklahoma country,4
oktoberfest,7
old school dancehall,3
old school hard trance,2
old school hip hop,16
old school nederhop,1
old school rap francais,20
old school thrash,44
old school uk hip hop,4
old west,1
old-time,1
oldschool deutschrap,25
olympia wa indie,5
omaha indie,16
one-person band,13
ontario indie,10
opera,34
opera metal,17
operatic pop,16
opm,2
orchestra,23
orchestral performance,31
orebro indie,4
organic electronic,33
organic house,78
orgcore,28
oriental classical,1
oriental metal,11
orlando indie,2
oromo pop,1
orthodox chant,1
oshare kei,4
oslo indie,7
otacore,8
oth indie,2
ottawa indie,2
ottawa rap,1
oud,5
oulu indie,2
oulu metal,5
outer hip hop,2
outlaw country,20
outsider,6
outsider house,38
oxford indie,16
p funk,6
pacific islands pop,9
pagan black metal,24
pagode,17
pagode baiano,5
pagode novo,2
paisley underground,5
pakistani indie,1
pakistani pop,1
pakistani rock,1
palestinian alternative,2
palestinian hip hop,3
palestinian pop,4
palestinian traditional,1
palm desert scene,23
paracana,1
parody,1
partido alto,1
partyschlager,34
pei indie,1
pennsylvania hardcore,5
permanent wave,83
perreo,1
persian alternative,4
persian electronic,5
persian hip hop,1
persian neo-traditional,4
persian pop,5
persian rock,2
persian traditional,7
perth indie,3
peruvian indie,1
philly indie,24
philly rap,10
philly soul,3
phonk,3
piano blues,5
piano cover,2
piano mpb,3
piano rock,30
piedmont blues,4
pinoy metal,2
pinoy rock,4
pipa,1
pirate,9
pittsburgh metal,1
pittsburgh rap,2
pittsburgh rock,1
pixie,30
plugg,2
plugg francais,1
plunderphonics,1
polish alternative,7
polish alternative rap,6
polish alternative rock,4
polish ambient,1
polish black metal,5
polish classical piano,3
polish death metal,6
polish electronica,3
polish experimental electronic,1
polish folk,2
polish folk metal,1
polish hardcore,1
polish hip hop,10
polish indie,2
polish indie rock,2
polish jazz,3
polish metal,8
polish modern jazz,1
polish noise rock,1
polish pop,3
polish post-punk,1
polish post-rock,3
polish prog,1
polish psychedelia,1
polish punk,4
polish reggae,1
polish rock,2
polish synthpop,2
polish techno,3
polish thrash metal,1
political hip hop,16
polyphonies corses,2
polyphony,6
pony,2
pop,252
pop ambient,4
pop argentino,2
pop chileno,1
pop costarricense,1
pop dance,144
pop edm,48
pop electronico,2
pop emo,23
pop flamenco,3
pop folk,7
pop house,8
pop lgbtq+ brasileira,5
pop nacional,6
pop punk,93
pop quebecois,17
pop r&b,13
pop rap,126
pop reggaeton,1
pop rock,178
pop rock brasileiro,2
pop romantico,1
pop soul,13
pop teen brasileiro,1
pop urbaine,69
pop violin,5
pop virale italiano,4
popgaze,29
popping,3
popwave,4
pornogrind,8
portland hip hop,3
portland indie,21
portland metal,10
portland punk,2
portsmouth indie,1
portuguese black metal,1
portuguese death metal,2
portuguese experimental,3
portuguese folk,1
portuguese indie,2
portuguese indie rock,2
portuguese jazz,2
portuguese metal,10
portuguese pop,11
portuguese post-rock,2
portuguese rock,6
portuguese techno,3
post-black metal,24
post-disco,13
post-disco soul,1
post-doom metal,101
post-grunge,45
post-hardcore,76
post-metal,59
post-minimalism,9
post-post-hardcore,7
post-punk,61
post-punk argentina,3
post-punk mexicano,2
post-rock,83
post-romantic era,1
post-screamo,47
post-teen pop,70
power blues-rock,40
power electronics,6
power metal,109
power noise,9
power pop,25
power thrash,5
power-pop punk,22
powerviolence,13
prank,1
prepared piano,2
preschool children's music,3
prog metal,7
progressive alternative,4
progressive black metal,4
progressive bluegrass,16
progressive death metal,14
progressive deathcore,25
progressive doom,12
progressive electro house,55
progressive groove metal,8
progressive house,76
progressive jazz fusion,26
progressive metal,81
progressive metalcore,15
progressive post-hardcore,22
progressive power metal,8
progressive psytrance,42
progressive rock,69
progressive sludge,13
progressive technical death metal,5
progressive thrash,9
progressive trance,27
progressive trance house,1
progressive uplifting trance,12
proto-rap,1
proto-techno,5
protopunk,28
psicodelia brasileira,1
psicodelia chilena,5
psicodelia mexicana,1
psybass,1
psych gaze,20
psychedelic blues-rock,6
psychedelic doom,90
psychedelic folk,3
psychedelic folk rock,3
psychedelic hip hop,12
psychedelic jazz fusion,5
psychedelic pop,11
psychedelic punk,2
psychedelic rock,52
psychedelic soul,9
psychedelic space rock,12
psychedelic trance,45
psychill,9
psychobilly,37
psychokore,4
psydub,4
psytech,2
pub rock,45
puerto rican folk,1
puerto rican indie,2
puerto rican pop,4
puerto rican rock,2
puglia indie,2
punjabi pop,2
punk,149
punk 'n' roll,56
punk blues,72
punk catala,1
punk chileno,1
punk colombiano,1
punk mexicano,1
punk rock italiano,5
punk ska,3
punk tuga,1
punk urbano,1
purple sound,3
qanun,1
quartetto d'archi,2
quatuor a cordes,6
quebec death metal,8
quebec indie,31
quebec punk,2
queens hip hop,19
queer country,2
queercore,10
quiet storm,34
r&b,66
r&b brasileiro,1
r&b italiano,1
raga rock,1
ragga jungle,7
raggatek,3
ragtime,1
rai,4
rain,1
rajasthani folk,2
ranchera,3
rap,134
rap algerien,1
rap antillais,2
rap baiano,1
rap belge,4
rap calme,43
rap canario,1
rap capixaba,1
rap catala,1
rap chileno,4
rap conciencia,6
rap conscient,40
rap cristiano,3
rap dominicano,5
rap espanol,4
rap euskera,1
rap feminino nacional,1
rap francais,55
rap francais nouvelle vague,3
rap inde,35
rap italiano old school,3
rap ivoire,1
rap kreyol,1
rap latina,12
rap lyonnais,6
rap malien,1
rap maroc,5
rap maromba,1
rap marseille,10
rap metal,33
rap metalcore,3
rap montrealais,4
rap nacional antigo,2
rap napoletano,6
rap rock,68
rap salvadoreno,1
rap sardegna,1
rap siciliano,1
rap tico,1
rap tunisien,2
rap underground espanol,3
rap uruguayo,2
rare groove,1
rave,4
rave funk,1
raw black metal,1
raw techno,12
rawstyle,47
re:techno,2
reading,4
reading indie,8
rebel blues,3
rebetiko,1
recorder,3
red dirt,4
redneck,4
reggae,53
reggae en espanol,2
reggae fusion,39
reggae maghreb,4
reggae rock,12
reggae tuga,3
reggaeton,27
reggaeton colombiano,5
reggaeton cristiano,1
reggaeton flow,7
regional mexican,2
relaxative,1
rennes indie,13
retro metal,76
retro soul,17
reunion pop,2
rhode island indie,14
rhode island rap,2
riddim,13
riddim dubstep,4
riot grrrl,13
ritmo kombina,1
ritual ambient,2
rochester ny indie,6
rock,380
rock abc paulista,1
rock alternatif francais,29
rock alternativo brasileiro,3
rock alternativo espanol,4
rock campineiro,1
rock catala,2
rock chapin,1
rock cristiano,4
rock curitibano,1
rock drums,14
rock en espanol,24
rock goiano,1
rock gospel brasileiro,1
rock gotico,1
rock in opposition,5
rock independant francais,28
rock kapak,4
rock keyboard,7
rock mineiro,1
rock nacional,6
rock nacional brasileiro,1
rock noise,6
rock of gibraltar,3
rock progresivo mexicano,1
rock progressif francais,4
rock quebecois,20
rock sergipano,1
rock steady,22
rock uruguayo,2
rock viet,1
rock-and-roll,17
rockabilly,25
rogaland indie,1
rogaland musikk,3
romanian black metal,2
romanian classical piano,1
romanian electronic,5
romanian metal,4
romanian pop,8
romanian rap,2
romanian rock,3
romanian trap,3
romantico,1
rome indie,7
rominimal,5
roots americana,13
roots reggae,55
roots rock,116
roots worship,1
rotterdam indie,2
rumba,19
rumba catalana,3
rumba congolaise,1
rune folk,10
russian alt pop,6
russian alternative rock,2
russian black metal,2
russian ccm,1
russian classical piano,14
russian dance pop,4
russian death metal,4
russian dnb,1
russian drill,1
russian electronic,6
russian emo rap,2
russian experimental electronic,4
russian folk,1
russian folk metal,3
russian folk rock,2
russian gangster rap,4
russian grime,1
russian hardcore,4
russian hip hop,9
russian indie,1
russian jazz,2
russian metal,3
russian metalcore,4
russian modern jazz,1
russian nu metal,3
russian orchestra,1
russian pop,7
russian post-punk,5
russian post-rock,3
russian punk,5
russian punk rock,3
russian rave,2
russian reggae,1
russian rock,8
russian ska,3
russian synthpop,2
russian techno,4
russian thrash metal,1
russian trap,4
russian viral pop,1
rva indie,4
sacramento hip hop,1
sacramento indie,9
sacred steel,2
sad rap,6
salon music,3
salsa,13
salsa colombiana,3
salsa cubana,4
salsa international,4
salsa peruana,1
salsa puertorriquena,5
salsa venezolana,1
salzburg indie,5
samba,16
samba de roda,2
samba moderno,2
samba reggae,4
samba-jazz,2
samba-rock,2
sambass,1
samoan pop,1
samurai trap,1
san antonio indie,1
san diego indie,3
san marcos tx indie,2
sardinia indie,2
saskatchewan indie,12
sasscore,21
saxony metal,3
saxophone trio,3
scandinavian r&b,2
scandipop,7
schlager,72
schranz,9
schweizer rap,64
sci-fi metal,12
scorecore,7
scottish americana,3
scottish electronic,8
scottish fiddle,1
scottish folk,15
scottish gaelic folk,3
scottish hip hop,2
scottish indie,27
scottish indie folk,3
scottish indie rock,6
scottish jazz,2
scottish metal,6
scottish new wave,6
scottish rock,29
scottish singer-songwriter,13
scottish techno,4
scratch,4
scream rap,1
screamo,93
screamocore,1
seattle hip hop,7
seattle indie,13
seattle metal,6
second line,7
sefardi,1
sega,2
serbian alternative rock,3
serbian electronic,3
serbian hip hop,1
serbian indie,2
serbian metal,3
serialism,1
sertanejo,15
sertanejo pop,11
sertanejo universitario,12
sevdah,5
shamanic,8
shanghai indie,1
shanty,1
sheffield indie,7
shibuya-kei,1
shimmer pop,69
shimmer psych,8
shiver pop,25
shoegaze,46
shojo,1
show tunes,3
shred,14
siberian folk,2
singaporean electronic,1
singaporean metal,3
singaporean punk,1
singer-songwriter,58
singing bowl,1
sinhala pop,3
sitar,1
ska,67
ska argentino,4
ska chileno,1
ska espanol,4
ska jazz,7
ska mexicano,3
ska punk,47
ska revival,32
skate punk,93
skiffle,1
skinhead oi,2
skramz,10
sky room,13
slam death metal,44
slam poetry,6
slamming deathcore,9
slap house,13
slavic folk metal,4
slavic metal,8
slayer,75
slc indie,1
sleaze rock,53
sleep,1
slovak electronic,2
slovak folk,1
slovak hip hop,1
slovak metal,1
slovenian electronic,3
slovenian hip hop,1
slovenian indie,2
slovenian metal,4
slovenian pop,2
slovenian rock,2
slowcore,24
sludge metal,42
sludgecore,11
small room,14
smooth jazz,17
smooth saxophone,2
smooth soul,4
smutny rap,3
soca,10
socal pop punk,11
social media pop,14
soda pop,1
soft rock,109
solo wave,30
son cubano,2
son cubano clasico,1
son jarocho,1
sophisti-pop,15
soukous,1
soul,53
soul blues,23
soul flow,6
soul jazz,23
souldies,4
soulful house,13
sound art,31
sound collage,1
sound effects,2
soundtrack,18
south african alternative,20
south african choral,3
south african electronic,1
south african gospel,2
south african hip hop,4
south african house,4
south african jazz,6
south african metal,1
south african modern jazz,3
south african pop,17
south african pop dance,4
south african punk,1
south african r&b,1
south african rock,11
south asian metal,2
south carolina hip hop,1
south carolina indie,1
south carolina metal,1
south dakota indie,1
southampton indie,7
southern americana,2
southern china indie,1
southern hip hop,60
southern metal,6
southern rock,17
southern soul,9
southern soul blues,1
soviet synthpop,1
sovietwave,2
space rock,100
spacewave,1
spanish black metal,3
spanish blues,3
spanish death metal,3
spanish electronic,4
spanish experimental,2
spanish folk,2
spanish folk metal,1
spanish folk rock,1
spanish hip hop,5
spanish indie folk,3
spanish indie pop,9
spanish indie rock,3
spanish invasion,1
spanish jazz,4
spanish metal,12
spanish modern rock,3
spanish new wave,2
spanish pop,11
spanish pop rock,5
spanish post-rock,6
spanish progressive rock,3
spanish punk,7
spanish reggae,1
spanish rock,10
spanish rockabilly,2
spanish synthpop,2
spanish techno,9
speed garage,3
speed metal,46
speedcore,10
speedrun,2
spiritual hip hop,2
spiritual jazz,2
spirituals,3
spoken word,1
springfield mo indie,2
st louis rap,2
st petersburg fl indie,1
stateside dnb,2
steampunk,14
steel guitar,1
steelpan,2
stl indie,3
stockholm indie,10
stomp and flutter,11
stomp and holler,208
stomp and whittle,6
stomp pop,13
stoner metal,82
stoner rock,92
straight edge,36
straight-ahead jazz,13
street band,6
street punk,14
street punk espanol,2
streichquartett,4
stride,14
string orchestra,3
string quartet,16
strut,3
study beats,1
stuttgart indie,18
substep,4
sudanese pop,4
sufi,1
sung poetry,1
sunnlensk tonlist,3
sunshine pop,3
suomi rock,9
suomirap,2
super eurobeat,2
supergroup,11
surf music,7
surf punk,8
