spotify_genre,occurrences
bossa nova,21
bossa nova cover,1
bossa nova jazz,2
boston electronic,3
boston folk,2
boston hardcore,9
boston hip hop,12
boston indie,3
boston metal,9
boston punk,5
boston rock,18
bouncy house,1
bow pop,31
boy band,20
braindance,7
brass band,19
brass band brasileiro,1
brass ensemble,12
brass quintet,2
brazilian black metal,2
brazilian boogie,1
brazilian death metal,8
brazilian dnb,3
brazilian edm,6
brazilian emo,1
brazilian gospel,3
brazilian groove metal,1
brazilian hardcore,4
brazilian hip hop,6
brazilian house,2
brazilian indie,8
brazilian indie rock,1
brazilian jazz,4
brazilian metal,7
brazilian modern jazz,3
brazilian percussion,2
brazilian post-hardcore,2
brazilian power metal,1
brazilian progressive metal,1
brazilian punk,5
brazilian punk rock,1
brazilian reggae,4
brazilian rock,13
brazilian rockabilly,1
brazilian soul,2
brazilian stoner rock,2
brazilian surf rock,1
brazilian techno,3
brazilian thrash metal,3
breakbeat,19
breakcore,12
breaks,1
brega funk,1
brega romantico,1
breton folk,6
brighton indie,31
brill building pop,15
brisbane indie,3
bristol electronic,14
bristol indie,15
brit funk,5
british alternative rock,29
british black metal,9
british blues,33
british brass band,8
british choir,3
british classical piano,3
british contemporary classical,4
british country,1
british death metal,16
british experimental,23
british folk,15
british grindcore,7
british indie rock,28
british industrial,21
british invasion,15
british jazz,30
british math rock,5
british orchestra,9
british post-rock,11
british power metal,6
british singer-songwriter,24
british soul,33
british soundtrack,8
britpop,60
broadway,1
broken beat,13
bronx hip hop,12
brooklyn indie,49
brostep,35
bruneian pop,1
brutal death metal,108
brutal deathcore,9
bubble trance,17
bubblegrunge,45
bubblegum dance,23
bubblegum pop,15
buffalo ny indie,2
buffalo ny metal,3
bulgarian electronic,3
bulgarian experimental,1
bulgarian folk,3
bulgarian indie,1
bulgarian metal,1
bulgarian pop,2
bulgarian rock,1
burkinabe pop,1
burkinabe traditional,2
burundian pop,1
bury st edmunds indie,1
c86,14
cabaret,1
calgary indie,3
cali rap,3
california hardcore,9
calming instrumental,1
calypso,1
cambodian rock,1
cambridge choir,2
cambridgeshire indie,7
cameroonian pop,1
canadian americana,12
canadian black metal,5
canadian blues,10
canadian ccm,4
canadian celtic,5
canadian classical piano,3
canadian contemporary country,6
canadian contemporary r&b,10
canadian country,8
canadian death metal,3
canadian drill,1
canadian electronic,17
canadian electropop,14
canadian experimental,13
canadian folk,27
canadian garage rock,5
canadian hardcore,9
canadian hip hop,12
canadian house,5
canadian indie,73
canadian indie folk,14
canadian indigenous,2
canadian latin,2
canadian metal,45
canadian metalcore,7
canadian modern jazz,2
canadian old school hip hop,5
canadian pop,27
canadian pop punk,6
canadian post-hardcore,5
canadian post-punk,11
canadian post-rock,7
canadian psychedelic,1
canadian psychedelic rock,12
canadian punk,25
canadian rock,23
canadian rockabilly,5
canadian shoegaze,3
canadian singer-songwriter,31
canadian stoner rock,2
canadian trap,3
canadian underground hip hop,2
cancion infantil latinoamericana,1
cancion melodica,1
candomble,2
candy pop,12
cantautor,13
cantautora argentina,1
cante flamenco,4
canterbury scene,3
canzone d'autore,12
canzone genovese,1
canzone napoletana,4
canzone siciliane,1
cape breton folk,2
cape breton indie,2
cape town indie,5
cape verdean folk,1
caracas indie,1
cardiff indie,2
carnatic,2
carnatic instrumental,1
cascadian black metal,4
caucasian classical piano,5
cavernous death metal,6
ccm,12
cedm,2
ceilidh,1
cello,17
celtic,25
celtic metal,11
celtic punk,22
celtic rock,36
chamber choir,1
chamber ensemble,1
chamber folk,10
chamber orchestra,12
chamber pop,52
chamber psych,95
