artist_id,match_error,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18,linked_artist_id
/artists/7575164-mo-mo-moe,X,MØ Mö Moe,Menny More,4jUZU6B8Q7FJr7lW826tR2,0.53,17,130,121,,,,,,,,,,,,,,,,,,,
/artists/8422598-versus-people,X,Versus People,The People Versus,7xChVh3g4yn9Mipj7MIZ1a,0.53,10,308,741,,,,,,,,,,,,,,,,,,,
/artists/3104371-zerospin,X,Zero-spin,SPINT0,7pQy1c1GGl42Uep59PopDC,0.53,3,2,515,,,,,,,,,,,,,,,,,,,
/artists/9691669-bottle-hymn,X,Bottle Hymn,Battle Hymn Of The Republic,6pC18zNOmhhwEbwnehhBLA,0.53,1,12,78,,,,,,,,,,,,,,,,,,,
/artists/3757576-love-beatles,X,The Love Beatles,Memphis Loves The Beatles Studio Band,1cti53NtX5PZtGATWuQPBv,0.53,0,23,8,,,,,,,,,,,,,,,,,,,
/artists/3956026-cannonsoul,X,Cannonsoul,Patrick Bianco's Cannonsoul,4MZb954NNQ5f7AQ0GWpdLJ,0.54,0,17,6,,,,,,,,,,,,,,,,,,,
/artists/10064442-modusquartett,,Modus-Quartett,Quartetto Modus,6j8DgqT6jmzF4Y3f2AH1NL,0.55,2,10,82,quartetto d'archi,,,,,,,,,,,,,,,,,,
/artists/938332-jacknives,,The Jacknives,Egidio Juke Ingala & The Jacknives,6qCpBuLmgSdUiVc7YulSJF,0.55,0,63,23,,,,,,,,,,,,,,,,,,,
/artists/9055394-woodmade,X,Woodmade,Woodside Wayne,5ZgGn9hPgA2WbmH18ET8ZJ,0.55,36,5,134,,,,,,,,,,,,,,,,,,,
/artists/1855697-voodoo-dick,,Voodoo Dick,Dick Voodoo,3z9U4Ue1TtLGtDjJyMfPYJ,0.55,0,190,84,,,,,,,,,,,,,,,,,,,
/artists/6392204-kartel-klub,,Kartel Klub,Klub Kartel,3J2UGUUsgMtHDuPIJLl1Tw,0.55,0,33,20,,,,,,,,,,,,,,,,,,,
/artists/8734544-season-tree,,Season Tree,Tree Season,0MTkswV5gHsBgQOaRH7F36,0.55,0,265,28,,,,,,,,,,,,,,,,,,,
/artists/3973786-rusty-blues,X,The Rusty Blues,Toledo Bob & The Rusty Zipper Blues Band,7wNqququWAMQnmPj81E6Rn,0.55,0,7,2,,,,,,,,,,,,,,,,,,,
/artists/5281528-alexander-knappe,,Alexander Knappe,Knappe,02jkPxmytH0Jj7qtp1qooI,0.55,47,25295,197000,german pop,,,,,,,,,,,,,,,,,,
/artists/4869288-john-pigeon,,John Pigeon,Pigeon John,3RfeWhoxAqlNRNcywG7RJj,0.55,47,36620,256399,,,,,,,,,,,,,,,,,,,/artists/96251-pigeon-john
/artists/933046-lo-fat-orchestra,X,The Lo Fat Orchestra,Fat Harry White And The Love Limited Orchestra,2CzK5zcmRB6JW5wQluX6ZC,0.55,1,147,56,,,,,,,,,,,,,,,,,,,
/artists/803522-slam-and-howie,X,SLAM & HOWIE,Slam & Howie And The Reserve Men,2TspMZ2bACFzHJ9Eym83cJ,0.55,3,526,214,,,,,,,,,,,,,,,,,,,
/artists/7589169-mad-and-denyo,X,Mad & Denyo,Madisenxoxo,2S2x3n1BXskbkRdEdj5gSB,0.55,37,4702,70500,,,,,,,,,,,,,,,,,,,
/artists/2488971-jp-inc,,JP Inc.,JP Incorporated,4cyWMvrbOUM2AjGyJxYg41,0.55,19,54,33600,,,,,,,,,,,,,,,,,,,
/artists/10102776-50sfive,X,50’s-Five,504 Suave,4fKIt5vWJLCFWMhdOpbQuK,0.56,0,0,19400000,,,,,,,,,,,,,,,,,,,
/artists/9063549-dong-bah,X,Dong Bâh,Don Baxter,1QMGuOMDua3iRsYll0YnHa,0.56,37,12750,4600,romanian rap,,,,,,,,,,,,,,,,,,
