,spotify_genre,top_genre
174,ambient techno,art music
175,ambient techno,electronic music
176,ambient techno,dance music
177,ambient trance,art music
178,ambient trance,electronic music
179,ambient trance,dance music
180,american 21st century classical,art music
181,american classical piano,art music
182,american contemporary classical,pop music
183,american contemporary classical,art music
184,american folk revival,world music
185,american folk revival,folk music
186,american grindcore,rock music
187,american melodeath,rock music
188,american metalcore,rock music
189,american oi,rock music
190,american orchestra,art music
191,american post-rock,experimental music
192,american post-rock,rock music
193,american primitive,folk music
194,american shoegaze,rock music
195,amharic pop,pop music
196,anarcho-punk,rock music
197,anime,functional music
198,anime rap,world music
199,anime rap,hip hop music
200,anime rap,functional music
201,anime rock,rock music
202,anime rock,functional music
203,anime score,functional music
204,ann arbor indie,country music
205,anthem emo,experimental music
206,anthem emo,vocal music
207,anthem emo,rock music
208,anthem emo,functional music
209,anthem worship,vocal music
210,anthem worship,functional music
211,anti-folk,folk music
212,antideutsche,world music
213,antideutsche,rock music
214,appenzeller folk,world music
215,appenzeller folk,folk music
216,arab alternative,rock music
217,arab electronic,electronic music
218,arab experimental,experimental music
219,arab folk,world music
220,arab folk,folk music
221,arab groove,pop music
222,arab metal,rock music
223,arab pop,world music
224,arab pop,pop music
225,arabesk,world music
226,arabesk,pop music
227,arabic hip hop,world music
228,arabic hip hop,hip hop music
229,arabic jazz,world music
230,arabic jazz,jazz
231,argentine ambient,art music
232,argentine ambient,electronic music
233,argentine hardcore,electronic music
234,argentine hardcore,dance music
235,argentine hardcore,rock music
236,argentine indie,rock music
237,argentine jazz,jazz
238,argentine metal,rock music
239,argentine punk,rock music
240,argentine reggae,world music
241,argentine rock,world music
242,argentine rock,rock music
243,argentine telepop,world music
244,argentine telepop,pop music
245,arizona punk,rock music
246,arkansas country,world music
247,arkansas country,country music
248,arkansas indie,rock music
249,arkansas metal,rock music
250,armenian pop,pop music
251,art pop,pop music
252,art punk,rock music
253,art rock,rock music
254,art song,art music
255,art song,vocal music
256,asbury park indie,rock music
257,asheville indie,rock music
258,asian american hip hop,hip hop music
259,athens indie,rock music
260,atl hip hop,world music
261,atl hip hop,hip hop music
262,atl trap,world music
263,atl trap,hip hop music
264,atlanta indie,rock music
265,atlanta metal,rock music
266,atlanta punk,rock music
267,atlantic canada hip hop,world music
268,atlantic canada hip hop,hip hop music
269,atmosphere,functional music
270,atmospheric black metal,rock music
271,atmospheric dnb,electronic music
272,atmospheric dnb,dance music
273,atmospheric doom,rock music
274,atmospheric post-metal,experimental music
275,atmospheric post-metal,rock music
276,atmospheric post-rock,experimental music
277,atmospheric post-rock,rock music
278,atmospheric sludge,rock music
279,auckland indie,pop music
280,audiophile vocal,vocal music
281,aussie drill,world music
282,aussie drill,hip hop music
283,aussie emo,experimental music
284,aussie emo,rock music
285,aussietronica,dance music
286,austin americana,world music
287,austin americana,country music
288,austin rock,rock music
289,austin singer-songwriter,vocal music
290,austin singer-songwriter,acoustic music
291,austindie,rock music
292,australian alternative pop,pop music
293,australian alternative pop,rock music
294,australian alternative rock,rock music
295,australian ambient,art music
296,australian ambient,electronic music
297,australian americana,world music
298,australian americana,country music
299,australian black metal,world music
300,australian black metal,rock music
301,australian blues,blues
302,australian classical piano,art music
303,australian comedy,functional music
304,australian country,world music
305,australian country,country music
306,australian dance,dance music
307,australian death metal,rock music
308,australian electropop,pop music
309,australian electropop,electronic music
310,australian experimental,experimental music
311,australian garage punk,rock music
312,australian hardcore,world music
313,australian hardcore,rock music
314,australian hip hop,world music
315,australian hip hop,hip hop music
316,australian house,electronic music
317,australian house,dance music
318,australian indie,rock music
319,australian indie folk,world music
320,australian indie folk,independent music
321,australian indie folk,folk music
322,australian indie rock,world music
323,australian indie rock,independent music
324,australian indie rock,rock music
325,australian indigenous,world music
326,australian jazz,world music
327,australian jazz,jazz
328,australian metal,rock music
329,australian metalcore,rock music
330,australian pop,pop music
331,australian post-hardcore,experimental music
332,australian post-hardcore,rock music
333,australian post-hardcore,dance music
334,australian post-hardcore,electronic music
335,australian post-punk,rock music
336,australian post-rock,experimental music
337,australian post-rock,rock music
338,australian psych,rock music
339,australian r&b,rhythm and blues
340,australian reggae fusion,world music
341,australian reggae fusion,jazz
342,australian rock,world music
343,australian rock,rock music
344,australian shoegaze,rock music
345,australian singer-songwriter,vocal music
346,australian singer-songwriter,acoustic music
347,australian ska,world music
348,australian talent show,pop music
349,australian techno,electronic music
350,australian techno,dance music
351,australian thrash metal,world music
352,australian thrash metal,rock music
353,australian trap,world music
354,australian trap,hip hop music
355,australian underground hip hop,underground music
356,australian underground hip hop,hip hop music
357,australian underground hip hop,independent music
358,australian underground hip hop,world music
359,austrian black metal,world music
360,austrian black metal,rock music
361,austrian classical piano,art music
362,austrian contemporary classical,pop music
363,austrian contemporary classical,art music
364,austrian dnb,electronic music
365,austrian dnb,dance music
366,austrian hip hop,world music
367,austrian hip hop,hip hop music
368,austrian indie,pop music
369,austrian jazz,jazz
370,austrian metal,rock music
371,austrian orchestra,art music
372,austrian pop,pop music
373,austrian punk,rock music
374,austrian stoner rock,rock music
375,austrian techno,electronic music
376,austrian techno,dance music
377,austropop,pop music
378,auteur-compositeur-interprete quebecois,world music
379,auteur-compositeur-interprete quebecois,folk music
380,autoharp,country music
381,autoharp,rock music
382,autoharp,folk music
383,autonomous black metal,world music
384,autonomous black metal,art music
385,autonomous black metal,rock music
386,avant-garde,art music
387,avant-garde black metal,world music
388,avant-garde black metal,art music
389,avant-garde black metal,rock music
390,avant-garde jazz,art music
391,avant-garde jazz,jazz
392,avant-garde metal,rock music
393,avant-rock,rock music
394,axe,world music
395,azeri pop,pop music
396,azeri traditional,world music
397,azonto,dance music
398,azontobeats,world music
399,azontobeats,pop music
400,bachata,world music
401,bachata,dance music
402,bachata dominicana,world music
403,bachata dominicana,dance music
404,background jazz,functional music
405,background jazz,jazz
406,background music,functional music
407,background piano,functional music
408,backing track,functional music
409,bagpipe,world music
410,bagpipe,folk music
411,baiao,world music
412,bakersfield sound,world music
413,bakersfield sound,country music
414,bal-musette,world music
415,bal-musette,folk music
416,balafon,world music
417,balafon,instrumental music
418,balearic,electronic music
419,balfolk,world music
420,balfolk,folk music
421,balkan beats,world music
422,balkan brass,folk music
423,balkan classical piano,art music
424,balkan folk metal,world music
425,balkan folk metal,rock music
426,balkan folk metal,folk music
427,balkan hip hop,world music
428,balkan hip hop,hip hop music
429,balkan trap,world music
430,balkan trap,hip hop music
431,ballroom,electronic music
432,ballroom,dance music
433,baltic black metal,world music
434,baltic black metal,rock music
435,baltic classical piano,art music
436,baltic folk,world music
437,baltic folk,folk music
438,baltic post-punk,rock music
439,baltimore hip hop,world music
440,baltimore hip hop,hip hop music
441,baltimore indie,rock music
442,banda caliente,world music
443,bandolim,world music
444,bandolim,vocal music
445,bandoneon,world music
446,bandoneon,jazz
447,bangalore indie,functional music
448,banjo,country music
449,barbadian pop,pop music
450,barbershop,vocal music
451,bard,acoustic music
452,bard,folk music
453,bard,world music
454,bard,vocal music
455,bardcore,folk music
456,barnmusik,children's music
457,barockinterpreten,art music
458,baroque,art music
459,baroque brass,art music
460,baroque ensemble,art music
461,baroque pop,pop music
462,baroque pop,art music
463,baroque singing,art music
464,baroque violin,art music
465,baroque woodwind,art music
466,basel indie,rock music
467,bass house,electronic music
468,bass house,dance music
469,bass music,world music
470,bass music,hip hop music
471,bass music,electronic music
472,bass trap,world music
473,bass trap,hip hop music
474,bass trap,electronic music
475,bass trip,world music
476,bass trip,hip hop music
477,bass trip,electronic music
478,basshall,electronic music
479,basshall,dance music
480,bassline,electronic music
481,bassline,dance music
482,bath indie,art music
483,bath indie,rock music
484,batida,world music
485,batida,electronic music
486,batida,dance music
487,baton rouge rap,world music
488,baton rouge rap,hip hop music
489,battle rap,world music
490,battle rap,hip hop music
491,bay area indie,rock music
492,bayerischer rap,world music
493,bayerischer rap,hip hop music
494,bboy,rhythm and blues
495,bc underground hip hop,underground music
496,bc underground hip hop,hip hop music
497,bc underground hip hop,independent music
498,bc underground hip hop,world music
499,beat italiano,pop music
500,beat italiano,rock music
501,beatboxing,hip hop music
502,beatdown,electronic music
503,beatlesque,rock music
504,bebop,jazz
505,bedroom pop,pop music
506,bedroom pop,lo-fi music
507,bedroom soul,soul music
508,bedroom soul,rhythm and blues
509,belarusian indie,electronic music
510,belarusian indie,world music
511,belarusian indie,rock music
512,belarusian metal,rock music
513,belfast indie,art music
514,belfast indie,jazz
515,belfast metal,rock music
516,belgian black metal,world music
517,belgian black metal,rock music
518,belgian blues,blues
519,belgian dance,dance music
520,belgian death metal,rock music
521,belgian dnb,electronic music
522,belgian edm,electronic music
523,belgian edm,dance music
524,belgian electronic,electronic music
525,belgian experimental,experimental music
526,belgian hardcore,electronic music
527,belgian hardcore,dance music
528,belgian hardcore,rock music
529,belgian hip hop,world music
530,belgian hip hop,hip hop music
531,belgian indie,rock music
532,belgian indie rock,independent music
533,belgian indie rock,rock music
534,belgian jazz,jazz
535,belgian metal,rock music
536,belgian modern jazz,art music
537,belgian modern jazz,jazz
538,belgian new wave,rock music
539,belgian new wave,pop music
540,belgian new wave,hip hop music
541,belgian new wave,world music
542,belgian new wave,electronic music
543,belgian pop,pop music
544,belgian post-rock,experimental music
545,belgian post-rock,rock music
546,belgian rock,world music
547,belgian rock,rock music
548,belgian singer-songwriter,vocal music
549,belgian singer-songwriter,acoustic music
550,belgian stoner rock,rock music
551,belgian techno,electronic music
552,belgian techno,dance music
553,belly dance,dance music
554,belo horizonte indie,independent music
555,benga,world music
556,beninese pop,pop music
557,bergamo indie,rock music
558,bergen indie,rock music
559,berlin minimal techno,experimental music
560,berlin minimal techno,electronic music
561,berlin minimal techno,dance music
562,berlin school,electronic music
563,bern indie,world music
564,bern indie,rock music
565,bhangra,dance music
566,big band,jazz
567,big beat,electronic music
568,big beat,dance music
569,big room,electronic music
570,big room,dance music
571,binaural,functional music
572,birdsong,functional music
573,birmingham grime,electronic music
574,birmingham hip hop,world music
575,birmingham hip hop,hip hop music
576,birmingham indie,rock music
577,birmingham metal,rock music
578,bitpop,pop music
579,bitpop,electronic music
580,black 'n' roll,rock music
581,black americana,world music
582,black americana,country music
583,black death,world music
584,black metal,rock music
585,black metal argentino,world music
586,black metal argentino,rock music
587,black punk,world music
588,black punk,rock music
589,black sludge,world music
590,black speed metal,world music
591,black speed metal,rock music
592,black thrash,world music
593,black thrash,rock music
594,blackened crust,rock music
595,blackened deathcore,electronic music
596,blackened deathcore,dance music
597,blackened deathcore,rock music
598,blackened hardcore,electronic music
599,blackened hardcore,dance music
600,blackened hardcore,rock music
601,blackgaze,rock music
602,blaskapelle,instrumental music
603,blasmusik,jazz
604,blasmusik,instrumental music
605,bleep techno,electronic music
606,bleep techno,dance music
607,bluegrass,world music
608,bluegrass,country music
609,bluegrass,folk music
610,bluegrass gospel,folk music
611,bluegrass gospel,world music
612,bluegrass gospel,country music
613,bluegrass gospel,functional music
614,blues,blues
615,blues band,blues
616,blues latinoamericano,blues
617,blues rock,rock music
618,blues rock,blues
619,blues-rock guitar,blues
620,blues-rock guitar,rock music
621,blues-rock guitar,acoustic music
622,bmore,electronic music
623,bmore,dance music
624,bolero,world music
625,bolero cubano,world music
626,boogaloo,world music
627,boogaloo,rhythm and blues
628,boogie,pop music
629,boogie-woogie,blues
630,boom bap,world music
631,boom bap,hip hop music
632,boom bap brasileiro,world music
633,boom bap brasileiro,hip hop music
634,boom bap espanol,world music
635,boom bap espanol,hip hop music
636,bosnian indie,rock music
637,bosnian pop,pop music
638,bossa nova,world music
639,bossa nova cover,world music
640,bossa nova jazz,world music
641,bossa nova jazz,jazz
642,boston electronic,electronic music
643,boston folk,world music
644,boston folk,folk music
645,boston hardcore,electronic music
646,boston hardcore,dance music
647,boston hardcore,rock music
648,boston hip hop,world music
649,boston hip hop,hip hop music
650,boston indie,rock music
651,boston metal,rock music
652,boston punk,rock music
653,boston rock,rock music
654,bouncy house,electronic music
655,bouncy house,dance music
656,bow pop,pop music
657,boy band,pop music
658,braindance,electronic music
659,brass band,instrumental music
660,brass band brasileiro,instrumental music
661,brass ensemble,instrumental music
662,brass quintet,instrumental music
663,brazilian black metal,world music
664,brazilian black metal,rock music
665,brazilian boogie,pop music
666,brazilian death metal,rock music
667,brazilian dnb,electronic music
668,brazilian dnb,dance music
669,brazilian edm,electronic music
670,brazilian edm,dance music
671,brazilian emo,experimental music
672,brazilian emo,rock music
673,brazilian gospel,world music
674,brazilian gospel,functional music
675,brazilian groove metal,rock music
676,brazilian hardcore,electronic music
677,brazilian hardcore,dance music
678,brazilian hardcore,rock music
679,brazilian hip hop,world music
680,brazilian hip hop,hip hop music
681,brazilian house,electronic music
682,brazilian house,dance music
683,brazilian indie,world music
684,brazilian indie,rock music
685,brazilian indie rock,independent music
686,brazilian indie rock,rock music
687,brazilian jazz,jazz
688,brazilian metal,rock music
689,brazilian modern jazz,art music
690,brazilian modern jazz,jazz
691,brazilian percussion,instrumental music
692,brazilian post-hardcore,experimental music
693,brazilian post-hardcore,rock music
694,brazilian post-hardcore,dance music
695,brazilian post-hardcore,electronic music
696,brazilian power metal,rock music
697,brazilian progressive metal,rock music
698,brazilian punk,rock music
699,brazilian punk rock,rock music
700,brazilian reggae,world music
701,brazilian rock,world music
702,brazilian rock,rock music
703,brazilian rockabilly,rock music
704,brazilian soul,soul music
705,brazilian soul,world music
706,brazilian soul,rhythm and blues
707,brazilian stoner rock,rock music
708,brazilian surf rock,pop music
709,brazilian surf rock,rock music
710,brazilian techno,electronic music
711,brazilian techno,dance music
712,brazilian thrash metal,rock music
713,breakbeat,electronic music
714,breakbeat,dance music
715,breakcore,electronic music
716,breakcore,dance music
717,breaks,hip hop music
718,brega funk,dance music
719,brega funk,hip hop music
720,brega funk,world music
721,brega funk,electronic music
722,brega romantico,world music
723,breton folk,world music
724,breton folk,folk music
725,brighton indie,rock music
726,brill building pop,pop music
727,brisbane indie,rock music
728,bristol electronic,electronic music
729,bristol indie,pop music
730,brit funk,funk
731,brit funk,rhythm and blues
732,british alternative rock,rock music
733,british black metal,world music
734,british black metal,rock music
735,british blues,blues
736,british brass band,instrumental music
737,british choir,vocal music
738,british classical piano,art music
739,british contemporary classical,pop music
740,british contemporary classical,art music
741,british country,world music
742,british country,country music
743,british death metal,rock music
744,british experimental,experimental music
745,british folk,world music
746,british folk,folk music
747,british grindcore,rock music
748,british indie rock,independent music
749,british indie rock,rock music
750,british industrial,experimental music
751,british industrial,electronic music
752,british invasion,rock music
753,british jazz,world music
754,british jazz,jazz
755,british math rock,rock music
756,british orchestra,art music
757,british post-rock,experimental music
758,british post-rock,rock music
759,british power metal,rock music
760,british singer-songwriter,vocal music
761,british singer-songwriter,acoustic music
762,british soul,soul music
763,british soundtrack,functional music
764,britpop,pop music
765,britpop,rock music
766,broadway,pop music
767,broken beat,electronic music
768,broken beat,dance music
769,bronx hip hop,world music
770,bronx hip hop,hip hop music
771,brooklyn indie,rock music
772,brostep,electronic music
773,bruneian pop,pop music
774,brutal death metal,rock music
775,brutal deathcore,electronic music
776,brutal deathcore,dance music
777,brutal deathcore,rock music
778,bubble trance,electronic music
779,bubble trance,dance music
780,bubblegrunge,rock music
781,bubblegum dance,electronic music
782,bubblegum dance,dance music
783,bubblegum pop,pop music
784,bubblegum pop,electronic music
785,bubblegum pop,rock music
786,buffalo ny indie,rock music
787,buffalo ny metal,rock music
788,bulgarian electronic,electronic music
789,bulgarian experimental,experimental music
790,bulgarian folk,world music
791,bulgarian folk,folk music
792,bulgarian indie,independent music
793,bulgarian metal,rock music
794,bulgarian pop,pop music
795,bulgarian rock,rock music
796,burkinabe pop,pop music
797,burkinabe traditional,world music
798,burundian pop,pop music
799,bury st edmunds indie,pop music
800,bury st edmunds indie,rock music
801,c86,pop music
802,c86,independent music
803,c86,rock music
804,cabaret,pop music
805,calgary indie,rock music
806,cali rap,world music
807,cali rap,hip hop music
808,california hardcore,electronic music
809,california hardcore,dance music
810,california hardcore,rock music
811,calming instrumental,instrumental music
812,calypso,world music
813,cambodian rock,world music
814,cambodian rock,rock music
815,cambridge choir,vocal music
816,cambridgeshire indie,rock music
817,cameroonian pop,pop music
818,canadian americana,world music
819,canadian americana,country music
820,canadian black metal,world music
821,canadian black metal,rock music
822,canadian blues,world music
823,canadian blues,blues
824,canadian ccm,pop music
825,canadian celtic,world music
826,canadian classical piano,art music
827,canadian contemporary country,pop music
828,canadian contemporary country,art music
829,canadian contemporary country,world music
830,canadian contemporary country,country music
831,canadian contemporary r&b,rhythm and blues
832,canadian contemporary r&b,pop music
833,canadian contemporary r&b,art music
834,canadian country,country music
835,canadian death metal,rock music
836,canadian drill,world music
837,canadian drill,hip hop music
838,canadian electronic,electronic music
839,canadian electropop,pop music
840,canadian electropop,electronic music
841,canadian experimental,experimental music
842,canadian folk,world music
843,canadian folk,folk music
844,canadian garage rock,rock music
845,canadian hardcore,rock music
846,canadian hip hop,world music
847,canadian hip hop,hip hop music
848,canadian house,electronic music
849,canadian house,dance music
850,canadian indie,rock music
851,canadian indie folk,world music
852,canadian indie folk,independent music
853,canadian indie folk,folk music
854,canadian indigenous,world music
855,canadian latin,world music
856,canadian metal,rock music
857,canadian metalcore,rock music
858,canadian modern jazz,art music
859,canadian modern jazz,jazz
860,canadian old school hip hop,world music
861,canadian old school hip hop,hip hop music
862,canadian pop,pop music
863,canadian pop punk,pop music
864,canadian pop punk,rock music
865,canadian post-hardcore,experimental music
866,canadian post-hardcore,rock music
867,canadian post-hardcore,dance music
868,canadian post-hardcore,electronic music
869,canadian post-punk,rock music
870,canadian post-rock,experimental music
871,canadian post-rock,rock music
872,canadian psychedelic,rock music
873,canadian psychedelic rock,rock music
874,canadian punk,rock music
875,canadian rock,world music
876,canadian rock,rock music
877,canadian rockabilly,rock music
878,canadian shoegaze,rock music
879,canadian singer-songwriter,vocal music
880,canadian singer-songwriter,acoustic music
881,canadian stoner rock,rock music
882,canadian trap,world music
883,canadian trap,hip hop music
884,canadian underground hip hop,underground music
885,canadian underground hip hop,hip hop music
886,canadian underground hip hop,independent music
887,canadian underground hip hop,world music
888,cancion infantil latinoamericana,children's music
889,cancion melodica,pop music
890,candomble,world music
891,candomble,folk music
892,candy pop,pop music
893,cantautor,world music
894,cantautor,rock music
895,cantautora argentina,art music
896,cantautora argentina,folk music
897,cante flamenco,world music
898,cante flamenco,folk music
899,canterbury scene,rock music
900,canzone d'autore,acoustic music
901,canzone d'autore,folk music
902,canzone d'autore,world music
903,canzone d'autore,vocal music
904,canzone genovese,country music
905,canzone napoletana,country music
906,canzone siciliane,country music
907,cape breton folk,world music
908,cape breton folk,folk music
909,cape breton indie,world music
910,cape breton indie,folk music
911,cape town indie,world music
912,cape town indie,pop music
913,cape verdean folk,world music
914,cape verdean folk,folk music
915,caracas indie,world music
916,caracas indie,rock music
917,cardiff indie,art music
918,carnatic,world music
919,carnatic,art music
920,carnatic instrumental,world music
921,carnatic instrumental,art music
922,carnatic instrumental,instrumental music
923,cascadian black metal,world music
924,cascadian black metal,rock music
925,caucasian classical piano,art music
926,cavernous death metal,rock music
927,ccm,pop music
928,cedm,dance music
929,cedm,electronic music
930,cedm,functional music
931,ceilidh,world music
932,ceilidh,folk music
933,cello,rock music
934,celtic,world music
935,celtic metal,rock music
936,celtic punk,rock music
937,celtic punk,folk music
938,celtic rock,rock music
939,celtic rock,folk music
940,chamber choir,art music
941,chamber ensemble,art music
942,chamber folk,folk music
943,chamber orchestra,art music
944,chamber pop,pop music
945,chamber pop,independent music
946,chamber pop,art music
947,chamber pop,rock music
948,chamber psych,art music
949,champeta,world music
950,channel islands indie,soul music
951,channel islands indie,rhythm and blues
952,channel islands indie,functional music
953,channel pop,pop music
954,chanson,world music
955,chanson,folk music
956,chanson paillarde,world music
957,chanson paillarde,folk music
958,chanson quebecois,world music
959,chanson quebecois,folk music
960,chanson virale,world music
961,chanson virale,folk music
962,chaotic black metal,world music
963,chaotic black metal,rock music
964,chaotic hardcore,rock music
965,chapman stick,rock music
966,charanga,world music
967,charango,world music
968,charlotte nc indie,pop music
969,charlottesville indie,pop music
970,charred death,rock music
971,chicago blues,blues
972,chicago bop,world music
973,chicago bop,hip hop music
974,chicago drill,world music
975,chicago drill,hip hop music
976,chicago hardcore,rock music
977,chicago house,electronic music
978,chicago house,dance music
979,chicago indie,rock music
980,chicago pop punk,pop music
981,chicago pop punk,rock music
982,chicago punk,rock music
983,chicago rap,world music
984,chicago rap,hip hop music
985,chicano punk,rock music
986,chicano rap,hip hop music
987,chicha,world music
988,chihuahua indie,world music
989,chihuahua indie,rock music
990,children's choir,children's music
991,children's music,children's music
992,chilean black metal,world music
993,chilean black metal,rock music
994,chilean indie,world music
995,chilean indie,rock music
996,chilean metal,rock music
997,chilean rock,world music
998,chilean rock,rock music
999,chill lounge,pop music
1000,chill pop,pop music
1001,chill r&b,rhythm and blues
1002,chill-out trance,electronic music
1003,chill-out trance,dance music
1004,chillhop,world music
1005,chillhop,lo-fi music
1006,chillhop,hip hop music
1007,chillstep,electronic music
1008,chillstep,dance music
1009,chillsynth,electronic music
1010,chillwave,electronic music
1011,chillwave,independent music
1012,chillwave,rock music
1013,chinderlieder,world music
1014,chinderlieder,rock music
1015,chinese audiophile,art music
1016,chinese classical performance,world music
1017,chinese classical performance,art music
1018,chinese classical piano,world music
1019,chinese classical piano,art music
1020,chinese electronic,electronic music
1021,chinese electropop,pop music
1022,chinese electropop,electronic music
1023,chinese experimental,experimental music
1024,chinese hip hop,world music
1025,chinese hip hop,hip hop music
1026,chinese indie,rock music
1027,chinese indie pop,independent music
1028,chinese indie pop,pop music
1029,chinese indie pop,rock music
1030,chinese indie rock,independent music
1031,chinese indie rock,rock music
1032,chinese jazz,jazz
1033,chinese metal,rock music
1034,chinese post-punk,rock music
1035,chinese post-rock,experimental music
1036,chinese post-rock,rock music
1037,chinese traditional,world music
1038,chinese traditional,folk music
1039,chinese worship,functional music
1040,chip hop,world music
1041,chip hop,hip hop music
1042,chiptune,electronic music
1043,chiptune,rock music
1044,chiptune,functional music
1045,chopped and screwed,world music
1046,chopped and screwed,hip hop music
1047,choral,vocal music
1048,choro,vocal music
1049,choro contemporaneo,vocal music
1050,christchurch indie,pop music
1051,christelijk,world music
1052,christelijk,functional music
1053,christian a cappella,vocal music
1054,christian a cappella,functional music
1055,christian alternative rock,rock music
1056,christian alternative rock,functional music
1057,christian deathcore,rock music
1058,christian deathcore,dance music
1059,christian deathcore,electronic music
1060,christian deathcore,functional music
1061,christian hardcore,rock music
1062,christian hardcore,functional music
1063,christian hip hop,world music
1064,christian hip hop,hip hop music
1065,christian hip hop,functional music
1066,christian indie,functional music
1067,christian metal,rock music
1068,christian metal,functional music
1069,christian metalcore,rock music
1070,christian metalcore,functional music
1071,christian music,functional music
1072,christian pop,pop music
1073,christian pop,functional music
1074,christian power metal,rock music
1075,christian power metal,functional music
1076,christian punk,rock music
1077,christian punk,functional music
1078,christian relaxative,functional music
1079,christian rock,rock music
1080,christian rock,functional music
1081,christian thrash metal,rock music
1082,christian thrash metal,functional music
1083,christian trap,world music
1084,christian trap,hip hop music
1085,christian trap,functional music
1086,christian uplift,functional music
1087,christlicher rap,world music
1088,christlicher rap,hip hop music
1089,christmas product,pop music
1090,cimbalom,instrumental music
1091,cinematic post-rock,experimental music
1092,cinematic post-rock,rock music
1093,circuit,electronic music
1094,circuit,dance music
1095,city pop,pop music
