spotify_genre,occurrences
boston folk,2
boston hardcore,9
boston hip hop,13
boston indie,3
boston metal,9
boston punk,5
boston rock,18
bouncy house,1
bow pop,31
boy band,20
braindance,7
brass band,19
brass band brasileiro,1
brass ensemble,14
brass quintet,2
brazilian bass,1
brazilian black metal,2
brazilian boogie,1
brazilian death metal,9
brazilian dnb,4
brazilian edm,6
brazilian gospel,3
brazilian groove metal,1
brazilian hardcore,4
brazilian hip hop,6
brazilian house,2
brazilian indie,6
brazilian indie rock,1
brazilian jazz,5
brazilian metal,7
brazilian modern jazz,3
brazilian percussion,2
brazilian post-hardcore,1
brazilian power metal,1
brazilian progressive metal,1
brazilian punk,4
brazilian punk rock,1
brazilian reggae,7
brazilian rock,13
brazilian rockabilly,1
brazilian soul,2
brazilian stoner rock,2
brazilian surf rock,1
brazilian techno,4
brazilian thrash metal,3
breakbeat,18
breakcore,12
breaks,1
brega romantico,1
breton folk,7
brighton indie,30
brill building pop,16
brisbane indie,3
bristol electronic,14
bristol indie,17
brit funk,5
british alternative rock,32
british black metal,9
british blues,33
british brass band,8
british choir,3
british classical piano,3
british contemporary classical,4
british country,1
british death metal,15
british experimental,23
british folk,16
british grindcore,7
british indie rock,27
british industrial,20
british invasion,16
british jazz,30
british math rock,5
british orchestra,8
british post-rock,11
british power metal,6
british singer-songwriter,24
british soul,34
british soundtrack,8
britpop,58
broken beat,15
bronx hip hop,12
brooklyn drill,1
brooklyn indie,49
brostep,33
brutal death metal,105
brutal deathcore,7
bubble trance,20
bubblegrunge,42
bubblegum dance,22
bubblegum pop,13
buffalo ny indie,2
buffalo ny metal,3
bulgarian electronic,2
bulgarian experimental,1
bulgarian folk,3
bulgarian indie,1
bulgarian metal,1
bulgarian pop,3
bulgarian rock,1
burkinabe pop,1
burkinabe traditional,2
burundian pop,2
bury st edmunds indie,1
c-pop,1
c86,14
cabaret,1
calgary indie,3
cali rap,1
california hardcore,9
calming instrumental,1
cambodian rock,1
cambridge choir,2
cambridgeshire indie,7
cameroonian pop,1
canadian americana,12
canadian black metal,4
canadian blues,10
canadian ccm,4
canadian celtic,5
canadian classical piano,3
canadian contemporary country,6
canadian contemporary r&b,11
canadian country,9
canadian death metal,3
canadian drill,1
canadian electronic,17
canadian electropop,15
canadian experimental,13
canadian folk,27
canadian garage rock,5
canadian hardcore,9
canadian hip hop,15
canadian house,5
canadian indie,71
canadian indie folk,14
canadian indigenous,2
canadian latin,2
canadian metal,44
canadian metalcore,7
canadian modern jazz,2
canadian old school hip hop,5
canadian pop,27
canadian pop punk,6
canadian post-hardcore,5
canadian post-punk,10
canadian post-rock,7
canadian psychedelic,1
canadian psychedelic rock,11
canadian punk,25
canadian rock,21
canadian rockabilly,5
canadian shoegaze,2
canadian singer-songwriter,31
canadian stoner rock,2
canadian trap,4
canadian underground hip hop,1
cancion infantil latinoamericana,1
cancion melodica,1
candomble,2
candy pop,12
cantautor,12
cantautora argentina,1
cante flamenco,4
canterbury scene,3
canzone d'autore,12
canzone genovese,1
canzone napoletana,5
cape breton folk,1
cape breton indie,1
cape town indie,4
cape verdean folk,1
caracas indie,1
cardiff indie,2
carnatic,2
carnatic instrumental,1
cascadian black metal,4
caucasian classical piano,5
cavernous death metal,7
ccm,12
cedm,1
cello,17
celtic,26
celtic metal,11
celtic punk,20
celtic rock,36
chalga,2
chamber choir,1
chamber ensemble,2
chamber folk,10
chamber orchestra,11
chamber pop,51
chamber psych,90
champeta,1
channel islands indie,2
channel pop,4
chanson,144
chanson paillarde,2
chanson quebecois,5
chanson virale,2
chaotic black metal,14
chaotic hardcore,29
chapman stick,3
charanga,1
charango,1
charlotte nc indie,2
charlottesville indie,4
charred death,2
chicago blues,8
chicago bop,2
chicago drill,2
chicago hardcore,3
chicago house,3
chicago indie,24
chicago pop punk,2
chicago punk,11
chicago rap,12
chicano punk,5
chicano rap,8
chicha,6
chihuahua indie,2
children's choir,1
children's music,4
chilean black metal,1
chilean indie,2
chilean metal,3
chilean rock,4
chill lounge,4
chill out,1
chill pop,2
chill r&b,12
chill-out trance,1
chillhop,23
chillstep,8
chillsynth,4
chillwave,102
chinderlieder,28
chinese classical performance,3
chinese classical piano,4
chinese electronic,2
chinese electropop,1
chinese experimental,1
chinese indie,2
chinese indie pop,2
chinese indie rock,3
chinese jazz,1
chinese metal,1
chinese post-punk,2
chinese post-rock,1
chinese traditional,2
chinese worship,1
chip hop,9
chiptune,5
