,spotify_genre,top_genre
1882,emo mexicano,experimental music
1883,emo mexicano,rock music
1884,emo punk,experimental music
1885,emo punk,rock music
1886,emo rap,experimental music
1887,emo rap,world music
1888,emo rap,hip hop music
1889,emo rap,rock music
1890,emocore,experimental music
1891,emocore,rock music
1892,emoviolence,experimental music
1893,emoviolence,rock music
1894,english indie rock,rock music
1895,english indie rock,independent music
1896,entehno,world music
1897,environmental,functional music
1898,epic black metal,world music
1899,epic black metal,art music
1900,epic black metal,functional music
1901,epic black metal,rock music
1902,epic doom,blues
1903,epic doom,rock music
1904,epicore,functional music
1905,eritrean pop,pop music
1906,escape room,world music
1907,escape room,hip hop music
1908,essex indie,rock music
1909,estonian electronic,electronic music
1910,estonian folk,folk music
1911,estonian folk,world music
1912,estonian indie,world music
1913,estonian indie,rock music
1914,estonian jazz,jazz
1915,estonian metal,rock music
1916,estonian pop,pop music
1917,estonian rock,world music
1918,estonian rock,rock music
1919,ethereal wave,rock music
1920,etherpop,pop music
1921,ethio-jazz,jazz
1922,ethio-jazz,world music
1923,ethiopian pop,pop music
1924,ethiopian traditional,world music
1925,ethnotronica,electronic music
1926,eugene indie,pop music
1927,euphoric hardstyle,dance music
1928,euphoric hardstyle,electronic music
1929,euro hi-nrg,dance music
1930,euro hi-nrg,electronic music
1931,eurodance,dance music
1932,eurodance,electronic music
1933,europop,pop music
1934,euroska,world music
1935,eurovision,pop music
1936,euskal indie,independent music
1937,euskal metal,rock music
1938,euskal rock,rock music
1939,experimental,experimental music
1940,experimental ambient,experimental music
1941,experimental ambient,electronic music
1942,experimental ambient,art music
1943,experimental big band,jazz
1944,experimental big band,art music
1945,experimental black metal,experimental music
1946,experimental black metal,world music
1947,experimental black metal,rock music
1948,experimental classical,experimental music
1949,experimental classical,art music
1950,experimental club,experimental music
1951,experimental club,dance music
1952,experimental dub,electronic music
1953,experimental dub,world music
1954,experimental dubstep,experimental music
1955,experimental dubstep,dance music
1956,experimental dubstep,electronic music
1957,experimental electronic,electronic music
1958,experimental folk,experimental music
1959,experimental folk,folk music
1960,experimental folk,world music
1961,experimental guitar,experimental music
1962,experimental guitar,acoustic music
1963,experimental hip hop,experimental music
1964,experimental hip hop,world music
1965,experimental hip hop,hip hop music
1966,experimental house,experimental music
1967,experimental house,dance music
1968,experimental house,electronic music
1969,experimental indie,experimental music
1970,experimental indie rock,experimental music
1971,experimental indie rock,rock music
1972,experimental indie rock,independent music
1973,experimental jazz,experimental music
1974,experimental jazz,jazz
1975,experimental percussion,experimental music
1976,experimental percussion,instrumental music
1977,experimental pop,pop music
1978,experimental psych,experimental music
1979,experimental r&b,experimental music
1980,experimental r&b,rhythm and blues
1981,experimental rock,experimental music
1982,experimental rock,rock music
1983,experimental synth,experimental music
1984,experimental synth,electronic music
1985,experimental techno,dance music
1986,experimental techno,electronic music
1987,experimental vocal,experimental music
1988,experimental vocal,vocal music
1989,fado,folk music
1990,fado,world music
1991,fake,functional music
1992,fallen angel,rock music
1993,faroese indie,folk music
1994,faroese pop,pop music
1995,faroese rock,rock music
1996,fast melodic punk,rock music
1997,fidget house,dance music
1998,fidget house,electronic music
1999,field recording,electronic music
2000,fijian pop,pop music
2001,filmi,functional music
2002,filmi,world music
2003,filter house,dance music
2004,filter house,electronic music
2005,filthstep,electronic music
2006,final fantasy,art music
2007,fingerstyle,world music
2008,fingerstyle,country music
2009,fingerstyle,folk music
2010,fingerstyle,instrumental music
2011,finlandssvenska musik,world music
2012,finnish alternative rock,rock music
2013,finnish black metal,world music
2014,finnish black metal,rock music
2015,finnish blues,blues
2016,finnish contemporary classical,art music
2017,finnish contemporary classical,pop music
2018,finnish dance pop,dance music
2019,finnish dance pop,pop music
2020,finnish death metal,rock music
2021,finnish doom metal,blues
2022,finnish doom metal,rock music
2023,finnish edm,dance music
2024,finnish edm,electronic music
2025,finnish electro,dance music
2026,finnish electro,electronic music
2027,finnish electronic,electronic music
2028,finnish experimental,experimental music
2029,finnish folk,folk music
2030,finnish folk,world music
2031,finnish hard rock,rock music
2032,finnish hardcore,dance music
2033,finnish hardcore,electronic music
2034,finnish hardcore,rock music
2035,finnish heavy metal,rock music
2036,finnish hip hop,world music
2037,finnish hip hop,hip hop music
2038,finnish idol pop,pop music
2039,finnish indie,rock music
2040,finnish jazz,jazz
2041,finnish melodeath,rock music
2042,finnish metal,rock music
2043,finnish modern jazz,jazz
2044,finnish modern jazz,art music
2045,finnish new wave,world music
2046,finnish new wave,hip hop music
2047,finnish new wave,electronic music
2048,finnish new wave,pop music
2049,finnish new wave,rock music
2050,finnish pop,pop music
2051,finnish post-punk,rock music
2052,finnish power metal,rock music
2053,finnish progressive metal,rock music
2054,finnish progressive rock,rock music
2055,finnish psychedelic rock,rock music
2056,finnish punk,rock music
2057,finnish reggae,world music
2058,finnish rockabilly,rock music
2059,finnish soul,soul music
2060,finnish soul,rhythm and blues
2061,finnish techno,dance music
2062,finnish techno,electronic music
2063,firenze indie,rock music
2064,flamenco,folk music
2065,flamenco,world music
2066,flamenco fusion,jazz
2067,flamenco fusion,folk music
2068,flamenco fusion,world music
2069,flamenco guitar,folk music
2070,flamenco guitar,world music
2071,flamenco guitar,acoustic music
2072,flamenco urbano,folk music
2073,flamenco urbano,world music
2074,flemish folk,folk music
2075,flemish folk,world music
2076,flick hop,world music
2077,flick hop,independent music
2078,flick hop,hip hop music
2079,flick hop,underground music
2080,float house,dance music
2081,float house,electronic music
2082,florida death metal,rock music
2083,florida hardcore,dance music
2084,florida hardcore,electronic music
2085,florida hardcore,rock music
2086,florida rap,world music
2087,florida rap,hip hop music
2088,flute rock,rock music
2089,fluxwork,electronic music
2090,focus,electronic music
2091,focus beats,lo-fi music
2092,focus trance,dance music
2093,focus trance,electronic music
2094,folclor afrocolombiano,folk music
2095,folclore portugues,folk music
2096,folclore salteno,jazz
2097,folclore tucumano,folk music
2098,folclore tucumano,world music
2099,folk,folk music
2100,folk black metal,folk music
2101,folk black metal,world music
2102,folk black metal,rock music
2103,folk brasileiro,folk music
2104,folk brasileiro,world music
2105,folk metal,rock music
2106,folk punk,folk music
2107,folk punk,rock music
2108,folk rock,folk music
2109,folk rock,rock music
2110,folk rock italiano,folk music
2111,folk rock italiano,world music
2112,folk rock italiano,rock music
2113,folk siciliana,world music
2114,folk siciliana,folk music
2115,folk-pop,folk music
2116,folk-pop,pop music
2117,folk-pop,acoustic music
2118,folklore argentino,folk music
2119,folklore argentino,world music
2120,folklore boliviano,world music
2121,folklore cuyano,world music
2122,folklore cuyano,rock music
2123,folklore peruano,folk music
2124,folklore peruano,world music
2125,folklore quebecois,folk music
2126,folklore veracruzano,folk music
2127,folklore veracruzano,world music
2128,folkmusik,folk music
2129,folktronica,electronic music
2130,footwork,world music
2131,footwork,hip hop music
2132,footwork,electronic music
2133,footwork,dance music
2134,forest psy,dance music
2135,forest psy,electronic music
2136,forro,dance music
2137,forro,world music
2138,forro tradicional,world music
2139,fort wayne indie,rock music
2140,fort worth indie,rock music
2141,fotbollslatar,pop music
2142,fourth world,world music
2143,francoton,world music
2144,francoton,pop music
2145,frankfurt electronic,electronic music
2146,frankfurt indie,rock music
2147,frauenrap,world music
2148,frauenrap,hip hop music
2149,freak folk,folk music
2150,freakbeat,pop music
2151,freakbeat,rock music
2152,free folk,folk music
2153,free improvisation,experimental music
2154,free improvisation,jazz
2155,free jazz,jazz
2156,free jazz,art music
2157,freestyle,dance music
2158,freestyle,electronic music
2159,freestyle,pop music
2160,french black metal,world music
2161,french black metal,rock music
2162,french classical piano,art music
2163,french contemporary classical,art music
2164,french contemporary classical,pop music
2165,french death metal,rock music
2166,french dnb,dance music
2167,french dnb,electronic music
2168,french dub,electronic music
2169,french dub,world music
2170,french experimental rock,experimental music
2171,french experimental rock,rock music
2172,french folk,folk music
2173,french folk,world music
2174,french folk pop,world music
2175,french folk pop,pop music
2176,french folk pop,folk music
2177,french folk pop,acoustic music
2178,french garage rock,rock music
2179,french hardcore,dance music
2180,french hardcore,electronic music
2181,french hardcore,rock music
2182,french hip hop,world music
2183,french hip hop,hip hop music
2184,french indie folk,folk music
2185,french indie folk,world music
2186,french indie folk,independent music
2187,french indie pop,pop music
2188,french indie pop,rock music
2189,french indie pop,independent music
2190,french indietronica,electronic music
2191,french indietronica,independent music
2192,french jazz,jazz
2193,french jazz,world music
2194,french metal,rock music
2195,french movie tunes,world music
2196,french movie tunes,pop music
2197,french oi,rock music
2198,french orchestra,art music
2199,french pop,world music
2200,french pop,pop music
2201,french post-punk,rock music
2202,french post-rock,experimental music
2203,french post-rock,rock music
2204,french psychedelic,rock music
2205,french punk,world music
2206,french punk,rock music
2207,french reggae,world music
2208,french rock,world music
2209,french rock,rock music
2210,french romanticism,art music
2211,french shoegaze,rock music
2212,french soundtrack,functional music
2213,french stoner rock,rock music
2214,french synthpop,electronic music
2215,french synthpop,pop music
2216,french synthpop,rock music
2217,french tech house,dance music
2218,french tech house,electronic music
2219,french techno,dance music
2220,french techno,electronic music
2221,frenchcore,dance music
2222,frenchcore,electronic music
2223,full on,dance music
2224,full on,electronic music
2225,funana,dance music
2226,funeral doom,blues
2227,funeral doom,rock music
2228,funk,funk
2229,funk,rhythm and blues
2230,funk carioca,world music
2231,funk carioca,hip hop music
2232,funk carioca,electronic music
2233,funk carioca,dance music
2234,funk das antigas,funk
2235,funk das antigas,rhythm and blues
2236,funk evangelico,funk
2237,funk evangelico,rhythm and blues
2238,funk metal,rock music
2239,funk mexicano,funk
2240,funk mexicano,rhythm and blues
2241,funk ostentacao,world music
2242,funk ostentacao,hip hop music
2243,funk ostentacao,electronic music
2244,funk ostentacao,dance music
2245,funk pop,funk
2246,funk pop,pop music
2247,funk pop,rhythm and blues
2248,funk rock,rock music
2249,funky breaks,dance music
2250,funky breaks,electronic music
2251,funky house,dance music
2252,funky house,electronic music
2253,funky tech house,dance music
2254,funky tech house,electronic music
2255,funky tech house,funk
2256,future ambient,electronic music
2257,future ambient,art music
2258,future bass,electronic music
2259,future bass,world music
2260,future bass,hip hop music
2261,future funk,dance music
2262,future funk,electronic music
2263,future garage,dance music
2264,future garage,electronic music
2265,future house,dance music
2266,future house,electronic music
2267,future rock,rock music
2268,futurepop,experimental music
2269,futurepop,electronic music
2270,futurepop,pop music
2271,futurepop,dance music
2272,futurepop,rock music
2273,g funk,world music
2274,g funk,hip hop music
2275,g-house,dance music
2276,g-house,electronic music
2277,gabba,dance music
2278,gabba,electronic music
2279,gaian doom,rock music
2280,gainesville indie,rock music
2281,galego,folk music
2282,galego,world music
2283,galician folk,folk music
2284,galician folk,world music
2285,galway indie,independent music
2286,gambian pop,pop music
2287,gaming dubstep,dance music
2288,gaming dubstep,electronic music
2289,gaming edm,dance music
2290,gaming edm,electronic music
2291,gangster rap,world music
2292,gangster rap,hip hop music
2293,garage house,dance music
2294,garage house,electronic music
2295,garage pop,pop music
2296,garage psych,rock music
2297,garage punk,rock music
2298,garage punk blues,blues
2299,garage punk blues,rock music
2300,garage rock,rock music
2301,garage rock mexicano,rock music
2302,garage rock revival,rock music
2303,gauze pop,pop music
2304,gbvfi,rock music
2305,geek folk,folk music
2306,geek folk,rock music
2307,geek rock,rock music
2308,georgian alternative,rock music
2309,georgian electronic,electronic music
2310,georgian pop,pop music
2311,german alternative rap,world music
2312,german alternative rap,rock music
2313,german alternative rap,hip hop music
