artist_id,match_error,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18,linked_artist_id
/artists/146022-regina-spektor,,Regina Spektor,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,1,64,1208932,2200000,indie pop,lilith,piano rock,pop rock,,,,,,,,,,,,,,,
/artists/362455-jamaram,,Jamaram,Jamaram,1ZorPJMjMj569PdFp8Ildc,1,39,27297,78600,german reggae,,,,,,,,,,,,,,,,,,
/artists/8445758-nodegrd,,NO°RD,NO°RD,5BmnxzaE102QlUkOBlwObv,1,3,758,176,german post-punk,german punk rock,,,,,,,,,,,,,,,,,
/artists/7542249-jesse-hackett,,Jesse Hackett,Jesse Hackett,0QM0AOckHzAkMosFlgRhzf,1,3,335,376,indie jazz,,,,,,,,,,,,,,,,,,
/artists/8184098-rukhsana-merrise,,Rukhsana Merrise,Rukhsana Merrise,51WveHy70ZoLyFjZVgM9bn,1,31,5451,35800,indie anthem-folk,,,,,,,,,,,,,,,,,,
/artists/464648-song,,Song,Song,7hZPoAx7HA2zMbB97HaziK,1,9,1505,950,,,,,,,,,,,,,,,,,,,
/artists/143907-martin-bisi,,Martin Bisi,Martin Bisi,0la2jwEnzoM8QqBkSyYvsu,1,0,146,28,,,,,,,,,,,,,,,,,,,
/artists/519777-nightmare,,Nightmare,Nightmare,11CxpTfZC60MYKjL7HESKR,1,56,92407,800200,j-metal,visual kei,,,,,,,,,,,,,,,,,/artists/519777-nightmare
/artists/5053988-as-blood-runs,,As Blood Runs,As Blood Runs Black,4LjQpQc5NB5G02zqfEIex7,0.81,42,111908,86500,deathcore,melodic deathcore,melodic metalcore,metalcore,,,,,,,,,,,,,,,/artists/528609-as-blood-runs-black
/artists/144240-devil-wears-prada,,The Devil Wears Prada,The Devil Wears Prada,0NbQe5CNgh4YApOCDuHSjb,1,59,489609,750600,christian metal,christian metalcore,melodic metalcore,metalcore,post-hardcore,,,,,,,,,,,,,,
/artists/8844864-pale-white,,The Pale White,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,1,46,38690,227800,english indie rock,modern alternative rock,modern rock,newcastle indie,rock,,,,,,,,,,,,,,
/artists/10163884-duo-frida,,Duo Frida,Duo Frida,3qbwslUEb5eBqfnyoXqbkl,1,0,41,10,,,,,,,,,,,,,,,,,,,
/artists/9209274-zeca-veloso,,Zeca Veloso,Zeca Veloso,6gSq4WUwOwojid2PSdq46Z,1,47,18720,257899,musica triste brasileira,,,,,,,,,,,,,,,,,,
/artists/369222-hands,,Hands,HANDS,0R3qbK96VoqUDx2skSnc2V,1,32,747,33500,,,,,,,,,,,,,,,,,,,
/artists/7263504-dj-klash,,Dj Klash,DJ Kash,0PZHBDr7z6CoGckACRD1ZV,0.93,20,292,8100,,,,,,,,,,,,,,,,,,,
/artists/6934069-damnations-day,,Damnations Day,Damnations Day,214TfIf82vvw5IfEU6p2h2,1,4,882,240,australian metal,power thrash,,,,,,,,,,,,,,,,,
/artists/518664-gangpol-und-mit,,Gangpol und Mit,Gangpol & Mit,2PlrWOhBaMEnU87npe99Gg,0.86,5,1011,420,bitpop,glitch pop,,,,,,,,,,,,,,,,,
/artists/6233844-airbox,,Air'Box,Air'Box,4Wpx5nEJypieDvX4sGwQ3J,1,0,27,8,,,,,,,,,,,,,,,,,,,
/artists/453366-spheric-universe-experience,,Spheric Universe Experience,Spheric Universe Experience,3CcaI2coIsE7MMLudLbPvq,1,11,4800,1100,french metal,melodic progressive metal,neo classical metal,progressive metal,,,,,,,,,,,,,,,
/artists/9748349-og-keemo,,OG KEEMO,OG Keemo,4gJT0OnBISFA5CPMNYBGIE,1,53,66941,197500,german alternative rap,german hip hop,german trap,german underground rap,,,,,,,,,,,,,,,
/artists/205518-samuel-jackson-five,,The Samuel Jackson Five,The Samuel Jackson Five,6DvSYxOlsQk4YPDVX9CmT7,1,13,5936,1600,laboratorio,nordic post-rock,oslo indie,post-rock,,,,,,,,,,,,,,,
/artists/7645194-intractable,,Intractable,Intractable,7ocnAB5DmM05fmdtLMpGE0,1,0,202,46,swiss metal,,,,,,,,,,,,,,,,,,
/artists/9072879-satan-fr,,Satan ,Satan,1LNgvz72fQVLe7ZNIw6Ipo,1,26,25652,13500,nwobhm,nwothm,,,,,,,,,,,,,,,,,/artists/834593-satan
/artists/4438858-strfkr,,STRFKR,STRFKR,2Tz1DTzVJ5Gyh8ZwVr6ekU,1,63,365369,2000000,alternative dance,chillwave,indie rock,indietronica,modern rock,vapor soul,,,,,,,,,,,,,
/artists/436622-condemned,,Condemned,Condemned,41o6suGH9w85f9arFqtnNL,1,11,6891,1200,brutal death metal,deathgrind,slam death metal,,,,,,,,,,,,,,,,
/artists/2047392-holgi-star,,Holgi Star,Holgi Star,5nyOcMeboyUYfqx8gko3tf,1,6,245,845,german tech house,,,,,,,,,,,,,,,,,,
/artists/419365-forest-fire,,Forest Fire,Forest Fire,2IBF8tLME76MIe1HwRL42X,1,8,2172,1100,brooklyn indie,,,,,,,,,,,,,,,,,,
/artists/294815-dado-moroni,,Dado Moroni,Dado Moroni,5ZWvQaDozNtEy2WY5ZhSzz,1,19,1402,4200,italian jazz,,,,,,,,,,,,,,,,,,
/artists/98811-daniel-powter,,Daniel Powter,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,1,62,216551,3100000,canadian pop,neo mellow,,,,,,,,,,,,,,,,,
/artists/8046673-make-me-a-donut-ch,,MAKE ME A DONUT ,Make Me A Donut,6t1j1IalJsZUxbprOZ7yBf,1,4,1155,239,,,,,,,,,,,,,,,,,,,/artists/8046673-make-me-a-donut-ch
/artists/405330-kamasi-washington,,Kamasi Washington,Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,1,62,393800,1700000,afrofuturism,contemporary jazz,indie jazz,indie soul,jazz,jazz saxophone,,,,,,,,,,,,,
/artists/9838944-ambrosius-huber,,Ambrosius Huber,Ambrosius Huber,0TsKkp8HBjgYa9wpPfnjuH,1,0,0,84700,,,,,,,,,,,,,,,,,,,
/artists/3148616-city-kill,,The City Kill,Kill The City,19Obhxi2To0uHE73LSrqtK,0.62,0,4,1100,,,,,,,,,,,,,,,,,,,
/artists/9744609-catch-my-story,,Catch My Story,Catch My Story,7BUFoouFJzOQN6ec4AUAx7,1,13,1329,1600,,,,,,,,,,,,,,,,,,,
/artists/4331346-alaclair-ensemble,,Alaclair Ensemble,Alaclair Ensemble,6qQ2if1od4FAg6ilAETwMG,1,39,25112,47200,hip hop quebecois,indie quebecois,rap montrealais,,,,,,,,,,,,,,,,
/artists/1895469-azerty,,Azerty,Azerty,5czGdwcw4N686urOEx3tgC,1,1,81,33,,,,,,,,,,,,,,,,,,,
/artists/158346-wolf,,WOLF,WOLF,1lE0mv7BSr4JzR4trCy1W9,1,43,21875,75300,,,,,,,,,,,,,,,,,,,
/artists/61197-rosenberg-trio,,The Rosenberg Trio,The Rosenberg Trio,4xIooHvSmj2aWhQGrniJSu,1,43,25065,119400,gypsy jazz,,,,,,,,,,,,,,,,,,
/artists/49023-jrocc,,J-Rocc,J-Rocc,6BnPtcU9Fb7ot2nh8tPTTo,1,0,1,35,,,,,,,,,,,,,,,,,,,
/artists/2426086-borgore,,Borgore,Borgore,7u160I5qtBYZTQMLEIJmyz,1,58,558120,1200000,brostep,classic dubstep,dubstep,edm,electro house,electronic trap,,,,,,,,,,,,,
/artists/5017278-andy-eastwood,,Andy Eastwood,Andy Eastwood,30HwHz9EtGV1DOwqR2ipdX,1,0,66,22,ukulele,,,,,,,,,,,,,,,,,,
/artists/608806-daso,,Daso,Daso,70PpOSePHXISY6UFBJt3K0,1,38,18568,87300,german techno,minimal techno,,,,,,,,,,,,,,,,,
/artists/9397224-lia-low,,Lia Low,Liah Low,4WWlUaD8vkCu20SaLxXqHX,0.93,0,0,3,,,,,,,,,,,,,,,,,,,
/artists/3525451-mattanja-joy-bradley,,Mattanja Joy Bradley,Mattanja Joy Bradley,6u9tyg6IXImKbuB5J12ush,1,36,2853,3000,dutch singer-songwriter,,,,,,,,,,,,,,,,,,
/artists/74980-schiller,,Schiller,Schiller,4tRSX1e4hJYjMNdl1TkINg,1,52,105595,261399,german techno,,,,,,,,,,,,,,,,,,
/artists/8820679-alyzee,,ALYZEE,Alyzee,4VmsYh2GKxJRTN72MZFPAX,1,0,112,13,,,,,,,,,,,,,,,,,,,
/artists/534798-body-count,,Body Count,Body Count,5KCph1z3jaSwhtwPzoYp6i,1,50,215332,327000,alternative metal,funk metal,nu metal,political hip hop,rap metal,rap rock,,,,,,,,,,,,,
/artists/937936-bianca-story,,The Bianca Story,The Bianca Story,1p6obHqCF3E42HYbyQrHhE,1,35,3374,11000,basel indie,swiss indie,swiss rock,,,,,,,,,,,,,,,,
/artists/1963258-antwerp-gipsyska-orkestra,,Antwerp Gipsy-Ska Orkestra,Antwerp Gipsy-Ska Orkestra,1i875m7Q3cFCxGDwrukhEg,1,12,2443,1700,balkan brass,gypsy punk,,,,,,,,,,,,,,,,,
/artists/8734804-ben-ashton-ch,,Ben Ashton ,Ben Ashton,7eImXmn1O255iM0fZjeSMD,1,6,197,844,,,,,,,,,,,,,,,,,,,/artists/6147989-ben-ashton
/artists/3105386-jon-porras,,Jon Porras,Jon Porras,0FDxPN4OkExGczv8cRTAZx,1,6,1373,483,,,,,,,,,,,,,,,,,,,
/artists/933879-curry-and-coco,,Curry and Coco,Curry & Coco,0LjCzwM1KOMmFuZYzI0YBP,0.85,2,429,180,,,,,,,,,,,,,,,,,,,/artists/3819031-curry-coco
/artists/6113769-josh-foley,,Josh Foley,Joshua Foley,7a7sCgysoO4LaHUhaRkbn7,0.91,0,0,2200,,,,,,,,,,,,,,,,,,,
/artists/530095-xen,,Xen,Xen,1Yso012dk6JFCIGwvCxTBS,1,47,15832,139800,schweizer rap,swiss hip hop,swiss trap,,,,,,,,,,,,,,,,
/artists/443250-wilson-pickett,,Wilson Pickett,Wilson Pickett,0N5PyKJzS3M1XNlaCL7bbE,1,61,485548,2000000,brill building pop,classic rock,classic soul,funk,memphis soul,motown,rock-and-roll,soul,southern soul,,,,,,,,,,
/artists/6575-new-found-glory,,New Found Glory,New Found Glory,4ghjRm4M2vChDfTUycx0Ce,1,63,690704,1800000,easycore,emo,pop punk,punk,skate punk,,,,,,,,,,,,,,
/artists/10082520-ippon,,Ippon,IPPON,5NxzmGijsQRL1Dq68AAbCB,1,0,38,32,,,,,,,,,,,,,,,,,,,
/artists/826583-atrain,,A-TRAIN,A-Train,4FPvke2d25HsadLpa4EnqH,1,17,0,8,,,,,,,,,,,,,,,,,,,
