,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity
/artists/5405248-akademisches-orchester-zurich,Akademisches Orchester Zürich,,,,
/artists/545856-akamassa,Akamassa,,,,
/artists/8426798-akashatree,AkashaTree,,,,
/artists/9155364-aki-takase-tama-trio,Aki Takase Tama Trio,,,,
/artists/8988834-akinetik,Akinetik,,,,
/artists/4954133-akkordeonale,Akkordeonale,,,,
/artists/9622814-akkordeonfestival-zug,Akkordeonfestival Zug,,,,
/artists/7758499-aktions-therapie,Aktions Therapie,,,,
/artists/4411568-al-green-special,Al Green Special,,,,
/artists/8070133-altarba-and-dj-nixon,Al'Tarba & DJ Nixon,,,,
/artists/9746609-altarba-and-senbei,Al'Tarba & Senbeï,,,,
/artists/3052641-alan-kelly-quartet,Alan Kelly Quartet,,,,
/artists/353757-alan-parsons-live-project,Alan Parsons Live Project,,,,
/artists/3081301-albert-adams-frey-mit-band,Albert Adams Frey Mit Band,,,,
/artists/4518918-albert-et-les-intermutants,Albert Et Les Intermutants,,,,
/artists/7845974-alborosie-and-shengen-clan,Alborosie and Shengen Clan,,,,
/artists/7677889-albumfeier,Albumfeier,,,,
/artists/7944008-albumrelease,Albumrelease,,,,
/artists/1602228-aldehyde,Aldehyde,,,,
/artists/10102851-aledin-qizmolli-trio,Aledin Qizmolli Trio,,,,
/artists/8969854-alekk-and-twitch,Alekk & Twitch,,,,
/artists/5493158-alela-diane-solo,Alela Diane Solo,,,,
/artists/3666851-alen-brentini-and-michael-t-ross,Alen Brentini & Michael T. Ross,,,,
/artists/9695269-alessio-cazzetta,Alessio Cazzetta,,,,
/artists/10161995-alex-bioli-trio,Alex Bioli Trio,,,,
/artists/6445664-alex-carpani-band,Alex Carpani Band,,,,
/artists/3085616-alex-meshkov,Alex Meshkov,,,,
/artists/7361014-alexandre-babel-martin-lorenz-antoine-chessex,"Alexandre Babel, Martin Lorenz, Antoine Chessex",,,,
/artists/9912904-alexandre-pelichet,Alexandre Pélichet,,,,
/artists/8946379-alfredo-rodriguez-and-pedrito-martinez,Alfredo Rodriguez & Pedrito Martinez,,,,
/artists/7183314-alina-amuri-quartett,Alina Amuri Quartett,,,,
/artists/4246231-alive-an-swingin,Alive an Swingin',,,,
/artists/2380395-all-because-the-lady-loves,All Because the Lady Loves,,,,
/artists/8499403-all-over-the-face,All Over The Face,,,,
/artists/7535619-all-you-need-is-love-das-beatles,All You Need Is Love! Das Beatles,,,,
/artists/2358924-allan-holdsworth-band,Allan Holdsworth Band,,,,
/artists/9128074-almost-x-famous,Almost x Famous,,,,
/artists/3644886-aloe-blacc-and-the-grand-scheme,Aloe Blacc and the Grand Scheme,,,,
/artists/6223394-alp-bora-quartett,Alp Bora Quartett,,,,
/artists/7309394-alpenklavier,Alpenklavier,,,,
/artists/68531-alpha-blondy-and-the-solar-system,Alpha Blondy & The Solar System,,,,
/artists/10106570-alpine-rovers,Alpine Rovers,,,,
/artists/10063254-alpmannstreu,Alpmannstreu,,,,
/artists/498107-alvin-lee-and-ten-years-after,Alvin Lee And Ten Years After,,,,
/artists/3566651-alvin-zealot-powerindierock-ch,Alvin Zealot Power-indie-rock Ch,,,,
/artists/4933208-alvis-hermanis,Alvis Hermanis,,,,
/artists/7397279-amanda-e-la-banda-soul-nblues-band,Amanda E La Banda Soul Nblues Band,,,,
/artists/9277114-ambaroots,Ambaroots,,,,
/artists/2390610-ambrose-akinmusire-group,Ambrose Akinmusire Group,,,,
/artists/2582016-ambrose-akinmusire-quartet,Ambrose Akinmusire Quartet,,,,
/artists/8339098-amici-corno-delle-alpi-ticino,Amici corno delle alpi Ticino,,,,
/artists/3850271-amina-figarova-sextet,Amina Figarova Sextet,,,,
/artists/9566384-amir-x-izos,Amir X Izos,,,,
/artists/3966126-amok-recordz,Amok Recordz,,,,
/artists/9763274-amos-3hunna6,Amos 3hunna6,,,,
/artists/9060479-ampere-eel,Ampere Eel,,,,
/artists/530249-an-pierle-and-white-velvet,An Pierlé & White Velvet,,,,
/artists/8836764-ana-berkenhoff,Ana Berkenhoff,,,,
/artists/8459428-anachronism-death-metal-ch,"Anachronism (Death Metal, CH)",,,,
/artists/10096155-analog-spin,Analog Spin,,,,
/artists/5016953-anancy-sound,Anancy Sound,,,,
/artists/8639149-anat-kolodny,Anat Kolodny,,,,
/artists/75205-and-all-because-the-lady-loves,And All Because The Lady Loves,,,,
